                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   11627347 |    3530718 |    3122690 |    3598022
  Cycles                             |    9838000 |    9838000 |    9838000 |    9838000
  IPC                                |       1.18 |       0.36 |       0.32 |       0.37
  Time (ns)                          |    2459500 |    2459500 |    2459500 |    2459500
  Idle time (ns)                     |       1482 |    1788438 |    1788776 |    1788702
  Idle time (%)                      |       0.1% |      72.7% |      72.7% |      72.7%
Branch predictor stats               |            |            |            |           
  num correct                        |    1457128 |    1033957 |     866073 |    1062581
  num incorrect                      |      82814 |      13973 |      19506 |      13157
  misprediction rate                 |      5.38% |      1.33% |      2.20% |      1.22%
  mpki                               |       7.12 |       3.96 |       6.25 |       3.66
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    1655344 |      57002 |      63502 |      55568
    num misses                       |        180 |         26 |         26 |         28
    miss rate                        |      0.01% |      0.05% |      0.04% |      0.05%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |           
    num accesses                     |    2896682 |     790962 |     748820 |     797163
    num misses                       |       1508 |        158 |        205 |        152
    miss rate                        |      0.05% |      0.02% |      0.03% |      0.02%
    mpki                             |       0.13 |       0.04 |       0.07 |       0.04
  L2 TLB                             |            |            |            |           
    num accesses                     |       1688 |        184 |        231 |        180
    num misses                       |        571 |        148 |        149 |        139
    miss rate                        |     33.83% |     80.43% |     64.50% |     77.22%
    mpki                             |       0.05 |       0.04 |       0.05 |       0.04
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    1655344 |      57002 |      63502 |      55568
    num cache misses                 |       2861 |        176 |        176 |        184
    miss rate                        |      0.17% |      0.31% |      0.28% |      0.33%
    mpki                             |       0.25 |       0.05 |       0.06 |       0.05
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    2896682 |     790962 |     748820 |     797163
    num cache misses                 |      46485 |      23063 |      23407 |      22999
    miss rate                        |      1.60% |      2.92% |      3.13% |      2.89%
    mpki                             |       4.00 |       6.53 |       7.50 |       6.39
  Cache L2                           |            |            |            |           
    num cache accesses               |      51530 |      23244 |      23589 |      23190
    num cache misses                 |      36831 |      20657 |      20900 |      20637
    miss rate                        |     71.47% |     88.87% |     88.60% |     88.99%
    mpki                             |       3.17 |       5.85 |       6.69 |       5.74
  Cache L3                           |            |            |            |           
    num cache accesses               |      39158 |      20670 |      20917 |      20654
    num cache misses                 |      17545 |       1097 |       1124 |       1121
    miss rate                        |     44.81% |      5.31% |      5.37% |      5.43%
    mpki                             |       1.51 |       0.31 |       0.36 |       0.31
DRAM summary                         |            |            |            |           
  num dram accesses                  |      20798 |          0 |          0 |          0
  average dram access latency (ns)   |      62.11 |        inf |        inf |        inf
  average dram queueing delay        |       0.86 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      10752 |        505 |        527 |        597
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
