                                     | Core 0     | Core 1    
  Instructions                       |  306677169 |  144763371
  Cycles                             |  285197310 |  285197310
  IPC                                |       1.08 |       0.51
  Time (ns)                          |   98343900 |   98343900
  Idle time (ns)                     |    8995374 |   60187600
  Idle time (%)                      |       9.1% |      61.2%
Branch predictor stats               |            |           
  num correct                        |   27937667 |   17393213
  num incorrect                      |       8762 |         77
  misprediction rate                 |      0.03% |      0.00%
  mpki                               |       0.03 |       0.00
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |   37798707 |        235
    num misses                       |        118 |         16
    miss rate                        |      0.00% |      6.81%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |   44552952 |   25474736
    num misses                       |   24752015 |    8303729
    miss rate                        |     55.56% |     32.60%
    mpki                             |      80.71 |      57.36
  L2 TLB                             |            |           
    num accesses                     |   24752133 |    8303745
    num misses                       |   23057569 |    7787733
    miss rate                        |     93.15% |     93.79%
    mpki                             |      75.19 |      53.80
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |   37798707 |        235
    num cache misses                 |       3543 |         95
    miss rate                        |      0.01% |     40.43%
    mpki                             |       0.01 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |   44552952 |   25474736
    num cache misses                 |   25448451 |    8363246
    miss rate                        |     57.12% |     32.83%
    mpki                             |      82.98 |      57.77
  Cache L2                           |            |           
    num cache accesses               |   30438096 |   13544854
    num cache misses                 |   24223102 |    8018159
    miss rate                        |     79.58% |     59.20%
    mpki                             |      78.99 |      55.39
  Cache L3                           |            |           
    num cache accesses               |   29209209 |   13199672
    num cache misses                 |   15649685 |    5176612
    miss rate                        |     53.58% |     39.22%
    mpki                             |      51.03 |      35.76
DRAM summary                         |            |           
  num dram accesses                  |   31509003 |          0
  average dram access latency (ns)   |      67.41 |        inf
  average dram queueing delay        |       6.16 |       0.00
  average dram bandwidth utilization |     40.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |   15122307 |    5176558
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
