                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  249443344 |  233420476 |  352010471 |  330245359 |  340275200 |  357048347 |  223358336 |  246048204
  Cycles                             |  315851140 |  315851140 |  416349230 |  315851140 |  416349230 |  315851140 |  416349230 |  416349230
  IPC                                |       0.79 |       0.74 |       0.85 |       1.05 |       0.82 |       1.13 |       0.54 |       0.59
  Time (ns)                          |  143568700 |  143568700 |  143568700 |  143568700 |  143568700 |  143568700 |  143568700 |  143568700
  Idle time (ns)                     |   67820363 |   62651890 |   14035276 |   16182459 |   18211763 |   17954803 |   55892394 |   49173335
  Idle time (%)                      |      47.2% |      43.6% |       9.8% |      11.3% |      12.7% |      12.5% |      38.9% |      34.3%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   22162637 |   21417687 |   27675502 |   24868314 |   26215962 |   32969369 |   15994775 |   17565136
  num incorrect                      |    1577835 |    1644826 |    2147561 |    2147788 |    2021761 |    4039956 |     915319 |    1001888
  misprediction rate                 |      6.65% |      7.13% |      7.20% |      7.95% |      7.16% |     10.92% |      5.41% |      5.40%
  mpki                               |       6.33 |       7.05 |       6.10 |       6.50 |       5.94 |      11.31 |       4.10 |       4.07
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   26978607 |   25032812 |   36709265 |   34088584 |   35194085 |   39288055 |   22545504 |   24983704
    num misses                       |        147 |         56 |         61 |         54 |         55 |         52 |         54 |         52
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |  115921654 |  110972384 |  178700307 |  162517666 |  170760386 |  155546540 |  118873561 |  129768845
    num misses                       |      26472 |      18921 |      21489 |      14377 |      14974 |      16158 |       8392 |       9337
    miss rate                        |      0.02% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.11 |       0.08 |       0.06 |       0.04 |       0.04 |       0.05 |       0.04 |       0.04
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |      26619 |      18977 |      21550 |      14431 |      15029 |      16210 |       8446 |       9389
    num misses                       |      10276 |       7137 |       5499 |       2606 |       2728 |       2486 |       1731 |       2025
    miss rate                        |     38.60% |     37.61% |     25.52% |     18.06% |     18.15% |     15.34% |     20.49% |     21.57%
    mpki                             |       0.04 |       0.03 |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   26978607 |   25032812 |   36709265 |   34088584 |   35194085 |   39288055 |   22545504 |   24983704
    num cache misses                 |      15943 |      13441 |      18308 |      21061 |      15432 |      24669 |       7750 |       9619
    miss rate                        |      0.06% |      0.05% |      0.05% |      0.06% |      0.04% |      0.06% |      0.03% |      0.04%
    mpki                             |       0.06 |       0.06 |       0.05 |       0.06 |       0.05 |       0.07 |       0.03 |       0.04
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |  115921654 |  110972384 |  178700307 |  162517666 |  170760386 |  155546540 |  118873561 |  129768845
    num cache misses                 |    1919458 |    2121901 |    1549643 |    1606651 |    1410230 |    2434088 |     800760 |     947437
    miss rate                        |      1.66% |      1.91% |      0.87% |      0.99% |      0.83% |      1.56% |      0.67% |      0.73%
    mpki                             |       7.69 |       9.09 |       4.40 |       4.87 |       4.14 |       6.82 |       3.59 |       3.85
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    1998367 |    2173480 |    1572613 |    1628870 |    1426870 |    2459738 |     809330 |     958032
    num cache misses                 |     251399 |     412001 |     122208 |     129265 |      98678 |     115957 |      63310 |      75215
    miss rate                        |     12.58% |     18.96% |      7.77% |      7.94% |      6.92% |      4.71% |      7.82% |      7.85%
    mpki                             |       1.01 |       1.77 |       0.35 |       0.39 |       0.29 |       0.32 |       0.28 |       0.31
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     314394 |     450179 |     126934 |     130479 |      99974 |     117061 |      64157 |      76220
    num cache misses                 |     180491 |     361617 |      52416 |      51503 |      59817 |      26423 |      38922 |      54638
    miss rate                        |     57.41% |     80.33% |     41.29% |     39.47% |     59.83% |     22.57% |     60.67% |     71.68%
    mpki                             |       0.72 |       1.55 |       0.15 |       0.16 |       0.18 |       0.07 |       0.17 |       0.22
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |    1200922 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      62.04 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.79 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |      78207 |     206304 |      24361 |      30666 |      35761 |       2013 |      21679 |      35622
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
