                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |  112368165 |  114030513 |  114078873 |  113369157 |  116190244 |  116580536
  Cycles                             |   42443200 |   42443200 |   42443200 |   42443200 |   42443200 |   42443200
  IPC                                |       2.65 |       2.69 |       2.69 |       2.67 |       2.74 |       2.75
  Time (ns)                          |   10610800 |   10610800 |   10610800 |   10610800 |   10610800 |   10610800
  Idle time (ns)                     |        204 |     244041 |     244869 |     245476 |     246039 |     246600
  Idle time (%)                      |       0.0% |       2.3% |       2.3% |       2.3% |       2.3% |       2.3%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |     778078 |    1581091 |    1597603 |    1360929 |   20169128 |   20299461
  num incorrect                      |      12035 |       5272 |       5306 |       5244 |       3952 |       3781
  misprediction rate                 |      1.52% |      0.33% |      0.33% |      0.38% |      0.02% |      0.02%
  mpki                               |       0.11 |       0.05 |       0.05 |       0.05 |       0.03 |       0.03
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |   10649478 |   10472935 |   10472744 |   10472744 |    5345272 |    5345273
    num misses                       |        222 |         38 |         38 |         38 |         38 |         38
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |   51700309 |   51571732 |   51579076 |   51461025 |   35984279 |   36049214
    num misses                       |       6570 |       5123 |      13093 |       7599 |       1861 |       1253
    miss rate                        |      0.01% |      0.01% |      0.03% |      0.01% |      0.01% |      0.00%
    mpki                             |       0.06 |       0.04 |       0.11 |       0.07 |       0.02 |       0.01
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |       6792 |       5161 |      13131 |       7637 |       1899 |       1291
    num misses                       |        619 |        154 |        199 |        196 |        133 |        131
    miss rate                        |      9.11% |      2.98% |      1.52% |      2.57% |      7.00% |     10.15%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |   10649478 |   10472935 |   10472744 |   10472744 |    5345272 |    5345273
    num cache misses                 |      82054 |      58041 |      57986 |      58039 |      57512 |      57448
    miss rate                        |      0.77% |      0.55% |      0.55% |      0.55% |      1.08% |      1.07%
    mpki                             |       0.73 |       0.51 |       0.51 |       0.51 |       0.49 |       0.49
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |   51700309 |   51571732 |   51579076 |   51461025 |   35984279 |   36049214
    num cache misses                 |     762972 |     718519 |     727659 |     728419 |     398272 |     397004
    miss rate                        |      1.48% |      1.39% |      1.41% |      1.42% |      1.11% |      1.10%
    mpki                             |       6.79 |       6.30 |       6.38 |       6.43 |       3.43 |       3.41
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |     867157 |     797795 |     811966 |     817185 |     468525 |     467090
    num cache misses                 |      82674 |      63138 |      67845 |      77541 |      58213 |      53030
    miss rate                        |      9.53% |      7.91% |      8.36% |      9.49% |     12.42% |     11.35%
    mpki                             |       0.74 |       0.55 |       0.59 |       0.68 |       0.50 |       0.45
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |     116738 |     104451 |     115426 |     125930 |      89836 |      78784
    num cache misses                 |      33811 |      15777 |      44878 |      38632 |      21082 |      19774
    miss rate                        |     28.96% |     15.10% |     38.88% |     30.68% |     23.47% |     25.10%
    mpki                             |       0.30 |       0.14 |       0.39 |       0.34 |       0.18 |       0.17
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |       9190 |          0 |          0 |       9146 |          0 |          0
  average dram access latency (ns)   |      77.52 |        inf |        inf |      77.64 |        inf |        inf
  average dram queueing delay        |      16.27 |       0.00 |       0.00 |      16.39 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |       6682 |         51 |         43 |         10 |         44 |         17
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      17630 |      14203 |      43197 |      32234 |      19009 |      15014
