                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4     | Core 5    
  Instructions                       |   617470808 |   638385743 |   629463364 |   610145220 |  353270984 |  360284360
  Cycles                             |  1492796000 |  1492796000 |  1492796000 |  1492796000 |  373199000 |  373199000
  IPC                                |        0.41 |        0.43 |        0.42 |        0.41 |       0.95 |       0.97
  Time (ns)                          |   373199000 |   373199000 |   373199000 |   373199000 |  373199000 |  373199000
  Idle time (ns)                     |     3823558 |     3486545 |     2200572 |     1119626 |     568050 |     469994
  Idle time (%)                      |        1.0% |        0.9% |        0.6% |        0.3% |       0.2% |       0.1%
Branch predictor stats               |             |             |             |             |            |           
  num correct                        |   148069119 |   156333951 |   153458641 |   146477333 |   60170847 |   62623228
  num incorrect                      |      229738 |      235547 |      244996 |      249304 |     245958 |     233805
  misprediction rate                 |       0.15% |       0.15% |       0.16% |       0.17% |      0.41% |      0.37%
  mpki                               |        0.37 |        0.37 |        0.39 |        0.41 |       0.70 |       0.65
TLB Summary                          |             |             |             |             |            |           
  I-TLB                              |             |             |             |             |            |           
    num accesses                     |    13688437 |    13214898 |    13304196 |    13606129 |   13917790 |   14042376
    num misses                       |         230 |          27 |          27 |          27 |         27 |         27
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |      0.00% |      0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |       0.00 |       0.00
  D-TLB                              |             |             |             |             |            |           
    num accesses                     |   176200454 |   177900742 |   176215201 |   173639357 |  131688467 |  132667513
    num misses                       |      131406 |      128752 |      129435 |      129299 |     131694 |     129163
    miss rate                        |       0.07% |       0.07% |       0.07% |       0.07% |      0.10% |      0.10%
    mpki                             |        0.21 |        0.20 |        0.21 |        0.21 |       0.37 |       0.36
  L2 TLB                             |             |             |             |             |            |           
    num accesses                     |      131636 |      128779 |      129462 |      129326 |     131721 |     129190
    num misses                       |       18352 |       10505 |       22728 |       11383 |      16106 |      22663
    miss rate                        |      13.94% |       8.16% |      17.56% |       8.80% |     12.23% |     17.54%
    mpki                             |        0.03 |        0.02 |        0.04 |        0.02 |       0.05 |       0.06
Cache Summary                        |             |             |             |             |            |           
  Cache L1-I                         |             |             |             |             |            |           
    num cache accesses               |    13688437 |    13214898 |    13304196 |    13606129 |   13917790 |   14042376
    num cache misses                 |       27755 |       11615 |       11473 |       11937 |      14495 |      14687
    miss rate                        |       0.20% |       0.09% |       0.09% |       0.09% |      0.10% |      0.10%
    mpki                             |        0.04 |        0.02 |        0.02 |        0.02 |       0.04 |       0.04
  Cache L1-D                         |             |             |             |             |            |           
    num cache accesses               |   176200454 |   177900742 |   176215201 |   173639357 |  131688467 |  132667513
    num cache misses                 |    34752622 |    34009448 |    33855541 |    34144358 |   34461207 |   34315921
    miss rate                        |      19.72% |      19.12% |      19.21% |      19.66% |     26.17% |     25.87%
    mpki                             |       56.28 |       53.27 |       53.78 |       55.96 |      97.55 |      95.25
  Cache L2                           |             |             |             |             |            |           
    num cache accesses               |    34989945 |    34228850 |    34073746 |    34365790 |   34679233 |   34534512
    num cache misses                 |     7791688 |     7608690 |     7579167 |     7636803 |    7772608 |    7739985
    miss rate                        |      22.27% |      22.23% |      22.24% |      22.22% |     22.41% |     22.41%
    mpki                             |       12.62 |       11.92 |       12.04 |       12.52 |      22.00 |      21.48
  Cache L3                           |             |             |             |             |            |           
    num cache accesses               |     8034004 |     7846454 |     7814915 |     7873493 |    7992273 |    7958956
    num cache misses                 |     7111968 |     6937555 |     6904968 |     6952139 |    6993226 |    6967139
    miss rate                        |      88.52% |      88.42% |      88.36% |      88.30% |     87.50% |     87.54%
    mpki                             |       11.52 |       10.87 |       10.97 |       11.39 |      19.80 |      19.34
DRAM summary                         |             |             |             |             |            |           
  num dram accesses                  |    43714548 |           0 |           0 |           0 |          0 |          0
  average dram access latency (ns)   |       71.08 |         inf |         inf |         inf |        inf |        inf
  average dram queueing delay        |        9.83 |        0.00 |        0.00 |        0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      14.00% |       0.00% |       0.00% |       0.00% |      0.00% |      0.00%
Coherency Traffic                    |             |             |             |             |            |           
  num loads from dram                |     7022921 |     6862715 |     6832771 |     6880724 |    6923030 |    6894842
  num loads from dram cache          |           0 |           0 |           0 |           0 |          0 |          0
  num loads from remote cache        |           0 |           0 |           0 |           0 |          0 |          0
