                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   11223366 |    3143263 |    3455221 |    2919807 |    3136039 |    3463696
  Cycles                             |    9394800 |    9394800 |    9394800 |    9394800 |    9394800 |    9394800
  IPC                                |       1.19 |       0.33 |       0.37 |       0.31 |       0.33 |       0.37
  Time (ns)                          |    2348700 |    2348700 |    2348700 |    2348700 |    2348700 |    2348700
  Idle time (ns)                     |       1579 |    1822377 |    1822847 |    1822907 |    1822873 |    1822719
  Idle time (%)                      |       0.1% |      77.6% |      77.6% |      77.6% |      77.6% |      77.6%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    1363647 |     940873 |    1070509 |     846258 |     938469 |    1073844
  num incorrect                      |      81590 |      11195 |       6987 |      14371 |      11349 |       7094
  misprediction rate                 |      5.65% |      1.18% |      0.65% |      1.67% |      1.19% |      0.66%
  mpki                               |       7.27 |       3.56 |       2.02 |       4.92 |       3.62 |       2.05
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    1432882 |      95002 |      67023 |     113506 |      93244 |      67156
    num misses                       |        177 |         28 |         26 |         26 |         26 |         26
    miss rate                        |      0.01% |      0.03% |      0.04% |      0.02% |      0.03% |      0.04%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |    2765585 |     668582 |     699163 |     647799 |     666839 |     700913
    num misses                       |       1504 |        132 |        143 |        155 |        151 |        138
    miss rate                        |      0.05% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.13 |       0.04 |       0.04 |       0.05 |       0.05 |       0.04
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |       1681 |        160 |        169 |        181 |        177 |        164
    num misses                       |        566 |        135 |        140 |        142 |        142 |        130
    miss rate                        |     33.67% |     84.38% |     82.84% |     78.45% |     80.23% |     79.27%
    mpki                             |       0.05 |       0.04 |       0.04 |       0.05 |       0.05 |       0.04
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    1432882 |      95002 |      67023 |     113506 |      93244 |      67156
    num cache misses                 |       2645 |        177 |        170 |        172 |        170 |        171
    miss rate                        |      0.18% |      0.19% |      0.25% |      0.15% |      0.18% |      0.25%
    mpki                             |       0.24 |       0.06 |       0.05 |       0.06 |       0.05 |       0.05
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |    2765585 |     668582 |     699163 |     647799 |     666839 |     700913
    num cache misses                 |      40792 |      16905 |      16609 |      17001 |      16940 |      16628
    miss rate                        |      1.47% |      2.53% |      2.38% |      2.62% |      2.54% |      2.37%
    mpki                             |       3.63 |       5.38 |       4.81 |       5.82 |       5.40 |       4.80
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |      45804 |      17264 |      16906 |      17784 |      17661 |      17292
    num cache misses                 |      31954 |      15409 |      15258 |      15439 |      15404 |      15214
    miss rate                        |     69.76% |     89.26% |     90.25% |     86.81% |     87.22% |     87.98%
    mpki                             |       2.85 |       4.90 |       4.42 |       5.29 |       4.91 |       4.39
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      34557 |      15602 |      15390 |      16050 |      15956 |      15710
    num cache misses                 |      25797 |       9013 |       8973 |       9870 |       9805 |       9471
    miss rate                        |     74.65% |     57.77% |     58.30% |     61.50% |     61.45% |     60.29%
    mpki                             |       2.30 |       2.87 |       2.60 |       3.38 |       3.13 |       2.73
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      10515 |          0 |          0 |      10466 |          0 |          0
  average dram access latency (ns)   |      61.44 |        inf |        inf |      61.43 |        inf |        inf
  average dram queueing delay        |       0.19 |       0.00 |       0.00 |       0.18 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |      10431 |        175 |        195 |        125 |        124 |        129
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       2472 |       2403 |       2342 |       3075 |       3004 |       2876
