                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    mpki                             |       2.02 |       3.80 |       4.34 |       3.90 |       4.07 |       4.31 |       4.10 |       3.88 |       3.90 |       4.27 |       3.84 |       4.19 |       4.25 |       4.87 |       4.84 |       4.04
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      47275 |      14229 |      14628 |      14269 |      14320 |      14554 |      14390 |      14023 |      14604 |      14814 |      14497 |      14741 |      14683 |      14998 |      15056 |      14447
    num cache misses                 |      32815 |      12992 |      13172 |      13046 |      13008 |      13168 |      13061 |      12897 |      13063 |      13141 |      12964 |      13133 |      13070 |      13269 |      13275 |      12969
    miss rate                        |     69.41% |     91.31% |     90.05% |     91.43% |     90.84% |     90.48% |     90.76% |     91.97% |     89.45% |     88.71% |     89.43% |     89.09% |     89.01% |     88.47% |     88.17% |     89.77%
    mpki                             |       1.57 |       3.53 |       4.00 |       3.64 |       3.77 |       3.99 |       3.80 |       3.63 |       3.62 |       3.94 |       3.57 |       3.88 |       3.94 |       4.51 |       4.45 |       3.77
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      35823 |      13082 |      13340 |      13161 |      13130 |      13323 |      13194 |      12987 |      13427 |      13566 |      13335 |      13527 |      13466 |      13762 |      13753 |      13355
    num cache misses                 |      26347 |       6728 |       6990 |       6819 |       6808 |       6883 |       6864 |       6850 |       7315 |       7456 |       7334 |       7290 |       7257 |       7493 |       7358 |       7170
    miss rate                        |     73.55% |     51.43% |     52.40% |     51.81% |     51.85% |     51.66% |     52.02% |     52.75% |     54.48% |     54.96% |     55.00% |     53.89% |     53.89% |     54.45% |     53.50% |     53.69%
    mpki                             |       1.26 |       1.83 |       2.12 |       1.90 |       1.97 |       2.08 |       2.00 |       1.93 |       2.03 |       2.24 |       2.02 |       2.15 |       2.19 |       2.54 |       2.47 |       2.09
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      14231 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |      14159 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      61.56 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |      61.58 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.31 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.32 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      10271 |        127 |        154 |        174 |        165 |        164 |        160 |        121 |         97 |        110 |        101 |        154 |        144 |        130 |         91 |        109
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       2297 |       2072 |       2163 |       2172 |       2148 |       2137 |       2109 |       2129 |       2551 |       2691 |       2548 |       2565 |       2527 |       2640 |       2650 |       2541
