                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |  313793562 |  313540789 |  314029641 |  312706165 |  313584836 |  315052431
  Cycles                             |  131163200 |  131163200 |  131163200 |  131163200 |  131163200 |  131163200
  IPC                                |       2.39 |       2.39 |       2.39 |       2.38 |       2.39 |       2.40
  Time (ns)                          |   32790800 |   32790800 |   32790800 |   32790800 |   32790800 |   32790800
  Idle time (ns)                     |      11226 |     984436 |    1547906 |    2659711 |    2678544 |    2676140
  Idle time (%)                      |       0.0% |       3.0% |       4.7% |       8.1% |       8.2% |       8.2%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |   19086323 |   19153773 |   31241743 |   30800962 |   31093922 |   31582915
  num incorrect                      |     117667 |     110627 |      96425 |      96409 |      96412 |      96477
  misprediction rate                 |      0.61% |      0.57% |      0.31% |      0.31% |      0.31% |      0.30%
  mpki                               |       0.37 |       0.35 |       0.31 |       0.31 |       0.31 |       0.31
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |   27576558 |   27462718 |   23647186 |   23646914 |   23646897 |   23646991
    num misses                       |        215 |         25 |         25 |         25 |         25 |         25
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |  103649317 |  103375643 |   96473300 |   96252141 |   96398615 |   96643358
    num misses                       |      64371 |      62855 |      55037 |      55613 |      55278 |      56416
    miss rate                        |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
    mpki                             |       0.21 |       0.20 |       0.18 |       0.18 |       0.18 |       0.18
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |      64586 |      62880 |      55062 |      55638 |      55303 |      56441
    num misses                       |      18482 |      17859 |      15028 |      15108 |      14996 |      14888
    miss rate                        |     28.62% |     28.40% |     27.29% |     27.15% |     27.12% |     26.38%
    mpki                             |       0.06 |       0.06 |       0.05 |       0.05 |       0.05 |       0.05
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |   27576558 |   27462718 |   23647186 |   23646914 |   23646897 |   23646991
    num cache misses                 |      16839 |       6241 |       5743 |       5813 |       5737 |       5731
    miss rate                        |      0.06% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.05 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |  103649317 |  103375643 |   96473300 |   96252141 |   96398615 |   96643358
    num cache misses                 |   11595120 |   11588186 |   10005290 |   10005805 |   10006200 |   10004531
    miss rate                        |     11.19% |     11.21% |     10.37% |     10.40% |     10.38% |     10.35%
    mpki                             |      36.95 |      36.96 |      31.86 |      32.00 |      31.91 |      31.76
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |   11759874 |   11741387 |   10133533 |   10134944 |   10134972 |   10133727
    num cache misses                 |    1210537 |    1196938 |    1029856 |    1019644 |    1019772 |    1021312
    miss rate                        |     10.29% |     10.19% |     10.16% |     10.06% |     10.06% |     10.08%
    mpki                             |       3.86 |       3.82 |       3.28 |       3.26 |       3.25 |       3.24
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |    1843750 |    1846543 |    1571159 |    1463235 |    1465927 |    1424947
    num cache misses                 |    1132124 |    1138419 |     958096 |     849698 |     851206 |     790004
    miss rate                        |     61.40% |     61.65% |     60.98% |     58.07% |     58.07% |     55.44%
    mpki                             |       3.61 |       3.63 |       3.05 |       2.72 |       2.71 |       2.51
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |    4972417 |          0 |          0 |    4970209 |          0 |          0
  average dram access latency (ns)   |    3122.75 |        inf |        inf |    3109.79 |        inf |        inf
  average dram queueing delay        |    3061.49 |       0.00 |       0.00 |    3048.54 |       0.00 |       0.00
  average dram bandwidth utilization |     18.00% |      0.00% |      0.00% |     18.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |     674156 |     708834 |     602695 |     488017 |     486387 |     446725
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      85501 |      60394 |      39545 |      62789 |      64785 |      48418
