                                     | Core 0      | Core 1     
  Instructions                       |   926634719 |   944581986
  Cycles                             |  1053795040 |  1053795040
  IPC                                |        0.88 |        0.90
  Time (ns)                          |   363377600 |   363377600
  Idle time (ns)                     |        4431 |     1261535
  Idle time (%)                      |        0.0% |        0.3%
Branch predictor stats               |             |            
  num correct                        |    44666873 |    50432490
  num incorrect                      |      101421 |       84323
  misprediction rate                 |       0.23% |       0.17%
  mpki                               |        0.11 |        0.09
TLB Summary                          |             |            
  I-TLB                              |             |            
    num accesses                     |   101122167 |   100748848
    num misses                       |         267 |          30
    miss rate                        |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00
  D-TLB                              |             |            
    num accesses                     |   517092651 |   518616033
    num misses                       |      290383 |      287629
    miss rate                        |       0.06% |       0.06%
    mpki                             |        0.31 |        0.30
  L2 TLB                             |             |            
    num accesses                     |      290650 |      287659
    num misses                       |      203038 |      201598
    miss rate                        |      69.86% |      70.08%
    mpki                             |        0.22 |        0.21
Cache Summary                        |             |            
  Cache L1-I                         |             |            
    num cache accesses               |   101122167 |   100748848
    num cache misses                 |       31783 |       20879
    miss rate                        |       0.03% |       0.02%
    mpki                             |        0.03 |        0.02
  Cache L1-D                         |             |            
    num cache accesses               |   517092651 |   518616033
    num cache misses                 |    16235526 |    16185791
    miss rate                        |       3.14% |       3.12%
    mpki                             |       17.52 |       17.14
  Cache L2                           |             |            
    num cache accesses               |    17772615 |    17687529
    num cache misses                 |    10643100 |    10610797
    miss rate                        |      59.88% |      59.99%
    mpki                             |       11.49 |       11.23
  Cache L3                           |             |            
    num cache accesses               |    12149265 |    12091779
    num cache misses                 |     9887135 |     9840577
    miss rate                        |      81.38% |      81.38%
    mpki                             |       10.67 |       10.42
DRAM summary                         |             |            
  num dram accesses                  |    28699407 |           0
  average dram access latency (ns)   |     3135.41 |         inf
  average dram queueing delay        |     3074.16 |        0.00
  average dram bandwidth utilization |       9.00% |       0.00%
Coherency Traffic                    |             |            
  num loads from dram                |     6929156 |     6891551
  num loads from dram cache          |           0 |           0
  num loads from remote cache        |           0 |           0
