                                     | Core 0     | Core 1    
  Instructions                       |   14602487 |    6019359
  Cycles                             |   11416400 |   11416400
  IPC                                |       1.28 |       0.53
  Time (ns)                          |    2854100 |    2854100
  Idle time (ns)                     |       1528 |    1810895
  Idle time (%)                      |       0.1% |      63.4%
Branch predictor stats               |            |           
  num correct                        |    1960055 |    1556854
  num incorrect                      |     104604 |      36532
  misprediction rate                 |      5.07% |      2.29%
  mpki                               |       7.16 |       6.07
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    1712800 |     197622
    num misses                       |        172 |         24
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.01 |       0.00
  D-TLB                              |            |           
    num accesses                     |    3687094 |    1474967
    num misses                       |       2673 |       1358
    miss rate                        |      0.07% |      0.09%
    mpki                             |       0.18 |       0.23
  L2 TLB                             |            |           
    num accesses                     |       2845 |       1382
    num misses                       |        677 |        216
    miss rate                        |     23.80% |     15.63%
    mpki                             |       0.05 |       0.04
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    1712800 |     197622
    num cache misses                 |       2896 |        161
    miss rate                        |      0.17% |      0.08%
    mpki                             |       0.20 |       0.03
  Cache L1-D                         |            |           
    num cache accesses               |    3687094 |    1474967
    num cache misses                 |      64924 |      38221
    miss rate                        |      1.76% |      2.59%
    mpki                             |       4.45 |       6.35
  Cache L2                           |            |           
    num cache accesses               |      70895 |      40527
    num cache misses                 |      45929 |      29690
    miss rate                        |     64.78% |     73.26%
    mpki                             |       3.15 |       4.93
  Cache L3                           |            |           
    num cache accesses               |      49123 |      31899
    num cache misses                 |      45069 |      29690
    miss rate                        |     91.75% |     93.08%
    mpki                             |       3.09 |       4.93
DRAM summary                         |            |           
  num dram accesses                  |      12491 |      12448
  average dram access latency (ns)   |      61.39 |      61.37
  average dram queueing delay        |       0.14 |       0.12
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      10186 |         13
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |       1161 |       4184
