                                     | Core 0      | Core 1     
  Instructions                       |  3938536475 |   897399678
  Cycles                             |  3799149640 |  3799149640
  IPC                                |        1.04 |        0.24
  Time (ns)                          |  1310051600 |  1310051600
  Idle time (ns)                     |   259194959 |  1050878059
  Idle time (%)                      |       19.8% |       80.2%
Branch predictor stats               |             |            
  num correct                        |   169514616 |    17365295
  num incorrect                      |     6161612 |      586196
  misprediction rate                 |       3.51% |       3.27%
  mpki                               |        1.56 |        0.65
TLB Summary                          |             |            
  I-TLB                              |             |            
    num accesses                     |   773979120 |   138992082
    num misses                       |         207 |          47
    miss rate                        |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00
  D-TLB                              |             |            
    num accesses                     |  2331207683 |   567306776
    num misses                       |    14093293 |     5865466
    miss rate                        |       0.60% |       1.03%
    mpki                             |        3.58 |        6.54
  L2 TLB                             |             |            
    num accesses                     |    14093500 |     5865513
    num misses                       |     6433126 |     3079990
    miss rate                        |      45.65% |      52.51%
    mpki                             |        1.63 |        3.43
Cache Summary                        |             |            
  Cache L1-I                         |             |            
    num cache accesses               |   773979120 |   138992082
    num cache misses                 |     1521150 |       19128
    miss rate                        |       0.20% |       0.01%
    mpki                             |        0.39 |        0.02
  Cache L1-D                         |             |            
    num cache accesses               |  2331207683 |   567306776
    num cache misses                 |    20499394 |     5713992
    miss rate                        |       0.88% |       1.01%
    mpki                             |        5.20 |        6.37
  Cache L2                           |             |            
    num cache accesses               |    23241219 |     5733732
    num cache misses                 |    12681379 |     4123417
    miss rate                        |      54.56% |      71.92%
    mpki                             |        3.22 |        4.59
  Cache L3                           |             |            
    num cache accesses               |    13902866 |     4124029
    num cache misses                 |     4128746 |      880318
    miss rate                        |      29.70% |      21.35%
    mpki                             |        1.05 |        0.98
DRAM summary                         |             |            
  num dram accesses                  |     7475217 |           0
  average dram access latency (ns)   |       61.29 |         inf
  average dram queueing delay        |        0.04 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00%
Coherency Traffic                    |             |            
  num loads from dram                |     3444479 |      758114
  num loads from dram cache          |           0 |           0
  num loads from remote cache        |           0 |           0
