                                     | Core 0     | Core 1    
  Instructions                       |  610762276 |  287370890
  Cycles                             |  613454980 |  613454980
  IPC                                |       1.00 |       0.47
  Time (ns)                          |  211536200 |  211536200
  Idle time (ns)                     |   17433981 |  135408464
  Idle time (%)                      |       8.2% |      64.0%
Branch predictor stats               |            |           
  num correct                        |   55200151 |   34170766
  num incorrect                      |       8703 |         77
  misprediction rate                 |      0.02% |      0.00%
  mpki                               |       0.01 |       0.00
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |   75547444 |        236
    num misses                       |        116 |         16
    miss rate                        |      0.00% |      6.78%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |   88592871 |   50640730
    num misses                       |   49910275 |   16683263
    miss rate                        |     56.34% |     32.94%
    mpki                             |      81.72 |      58.05
  L2 TLB                             |            |           
    num accesses                     |   49910391 |   16683279
    num misses                       |   48148019 |   16145286
    miss rate                        |     96.47% |     96.78%
    mpki                             |      78.83 |      56.18
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |   75547444 |        236
    num cache misses                 |       5241 |         96
    miss rate                        |      0.01% |     40.68%
    mpki                             |       0.01 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |   88592871 |   50640730
    num cache misses                 |   51139815 |   16746673
    miss rate                        |     57.72% |     33.07%
    mpki                             |      83.73 |      58.28
  Cache L2                           |            |           
    num cache accesses               |   64454019 |   30325217
    num cache misses                 |   49889586 |   16388786
    miss rate                        |     77.40% |     54.04%
    mpki                             |      81.68 |      57.03
  Cache L3                           |            |           
    num cache accesses               |   63198553 |   29967234
    num cache misses                 |   41156114 |   13578671
    miss rate                        |     65.12% |     45.31%
    mpki                             |      67.38 |      47.25
DRAM summary                         |            |           
  num dram accesses                  |   36656533 |   36497693
  average dram access latency (ns)   |      62.06 |      62.06
  average dram queueing delay        |       0.81 |       0.81
  average dram bandwidth utilization |     21.00% |     21.00%
Coherency Traffic                    |            |           
  num loads from dram                |   37737980 |   11186149
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |    2366453 |    2392394
