                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   45205069 |    6561915 |    5499712 |    6302446 |    6396178 |    6289765
  Cycles                             |  128674800 |  128674800 |  128674800 |  128674800 |   32168700 |   32168700
  IPC                                |       0.35 |       0.05 |       0.04 |       0.05 |       0.20 |       0.20
  Time (ns)                          |   32168700 |   32168700 |   32168700 |   32168700 |   32168700 |   32168700
  Idle time (ns)                     |     208043 |   26607712 |   26442914 |   26442439 |   26543697 |   26639763
  Idle time (%)                      |       0.6% |      82.7% |      82.2% |      82.2% |      82.5% |      82.8%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    5058782 |    1814830 |    1334458 |    1670577 |    1763612 |    1743179
  num incorrect                      |     346182 |      35755 |      56782 |      45700 |      35775 |      33053
  misprediction rate                 |      6.40% |      1.93% |      4.08% |      2.66% |      1.99% |      1.86%
  mpki                               |       7.66 |       5.45 |      10.32 |       7.25 |       5.59 |       5.26
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    6881867 |     146336 |     167182 |     155820 |     145292 |     139731
    num misses                       |        173 |         28 |         26 |         26 |         25 |         25
    miss rate                        |      0.00% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |   10448705 |    1626733 |    1543252 |    1626798 |    1597512 |    1565659
    num misses                       |      13608 |      11886 |      11974 |      11998 |      11873 |      11862
    miss rate                        |      0.13% |      0.73% |      0.78% |      0.74% |      0.74% |      0.76%
    mpki                             |       0.30 |       1.81 |       2.18 |       1.90 |       1.86 |       1.89
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |      13781 |      11914 |      12000 |      12024 |      11898 |      11887
    num misses                       |        897 |        337 |        339 |        341 |        314 |        306
    miss rate                        |      6.51% |      2.83% |      2.83% |      2.84% |      2.64% |      2.57%
    mpki                             |       0.02 |       0.05 |       0.06 |       0.05 |       0.05 |       0.05
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    6881867 |     146336 |     167182 |     155820 |     145292 |     139731
    num cache misses                 |       3148 |        182 |        180 |        185 |        240 |        238
    miss rate                        |      0.05% |      0.12% |      0.11% |      0.12% |      0.17% |      0.17%
    mpki                             |       0.07 |       0.03 |       0.03 |       0.03 |       0.04 |       0.04
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |   10448705 |    1626733 |    1543252 |    1626798 |    1597512 |    1565659
    num cache misses                 |      99859 |      67381 |      68970 |      68045 |      67450 |      67425
    miss rate                        |      0.96% |      4.14% |      4.47% |      4.18% |      4.22% |      4.31%
    mpki                             |       2.21 |      10.27 |      12.54 |      10.80 |      10.55 |      10.72
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |     105134 |      67567 |      69154 |      68233 |      67691 |      67664
    num cache misses                 |      83544 |      59345 |      60130 |      59888 |      59863 |      59974
    miss rate                        |     79.46% |     87.83% |     86.95% |     87.77% |     88.44% |     88.64%
    mpki                             |       1.85 |       9.04 |      10.93 |       9.50 |       9.36 |       9.54
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      86000 |      59387 |      60179 |      59931 |      59894 |      59987
    num cache misses                 |      25807 |       2807 |       2854 |       2677 |       2754 |       2613
    miss rate                        |     30.01% |      4.73% |      4.74% |      4.47% |      4.60% |      4.36%
    mpki                             |       0.57 |       0.43 |       0.52 |       0.42 |       0.43 |       0.42
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      39424 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      61.36 |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.10 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |      11628 |       1513 |       1460 |       1306 |       1476 |       1399
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0
