                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |    7332029 |    7751081 |    8313081 |    8322307 |    8417222 |    8572382
  Cycles                             |    4995600 |    4995600 |    4995600 |    4995600 |    4995600 |    4995600
  IPC                                |       1.47 |       1.55 |       1.66 |       1.67 |       1.68 |       1.72
  Time (ns)                          |    1248900 |    1248900 |    1248900 |    1248900 |    1248900 |    1248900
  Idle time (ns)                     |        256 |     235140 |     235498 |     235634 |     235732 |     235826
  Idle time (%)                      |       0.0% |      18.8% |      18.9% |      18.9% |      18.9% |      18.9%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |     513760 |     832583 |    1267098 |    1282742 |    1385610 |    1471194
  num incorrect                      |       8939 |       2725 |       2683 |       2410 |       2329 |       2094
  misprediction rate                 |      1.71% |      0.33% |      0.21% |      0.19% |      0.17% |      0.14%
  mpki                               |       1.22 |       0.35 |       0.32 |       0.29 |       0.28 |       0.24
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |     825147 |     697371 |     600558 |     596007 |     569009 |     556821
    num misses                       |        204 |         28 |         28 |         28 |         28 |         29
    miss rate                        |      0.02% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01%
    mpki                             |       0.03 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |    3816570 |    3594410 |    3363084 |    3347498 |    3270278 |    3253290
    num misses                       |       2018 |        622 |        681 |        638 |        534 |        356
    miss rate                        |      0.05% |      0.02% |      0.02% |      0.02% |      0.02% |      0.01%
    mpki                             |       0.28 |       0.08 |       0.08 |       0.08 |       0.06 |       0.04
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |       2222 |        650 |        709 |        666 |        562 |        385
    num misses                       |        568 |        174 |        174 |        170 |        164 |        142
    miss rate                        |     25.56% |     26.77% |     24.54% |     25.53% |     29.18% |     36.88%
    mpki                             |       0.08 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |     825147 |     697371 |     600558 |     596007 |     569009 |     556821
    num cache misses                 |       6976 |        416 |        419 |        419 |        410 |        399
    miss rate                        |      0.85% |      0.06% |      0.07% |      0.07% |      0.07% |      0.07%
    mpki                             |       0.95 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |    3816570 |    3594410 |    3363084 |    3347498 |    3270278 |    3253290
    num cache misses                 |     131448 |     111375 |      98050 |      97343 |      91711 |      88693
    miss rate                        |      3.44% |      3.10% |      2.92% |      2.91% |      2.80% |      2.73%
    mpki                             |      17.93 |      14.37 |      11.79 |      11.70 |      10.90 |      10.35
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |     143115 |     114748 |     103015 |     102846 |      95935 |      91309
    num cache misses                 |      24751 |      15762 |      14845 |      15883 |      16549 |      13884
    miss rate                        |     17.29% |     13.74% |     14.41% |     15.44% |     17.25% |     15.21%
    mpki                             |       3.38 |       2.03 |       1.79 |       1.91 |       1.97 |       1.62
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      34693 |      22652 |      23460 |      25779 |      25602 |      20976
    num cache misses                 |      15921 |       4360 |       4160 |       9065 |      10875 |       7915
    miss rate                        |     45.89% |     19.25% |     17.73% |     35.16% |     42.48% |     37.73%
    mpki                             |       2.17 |       0.56 |       0.50 |       1.09 |       1.29 |       0.92
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      13829 |          0 |          0 |          0 |      13807 |          0
  average dram access latency (ns)   |     418.58 |        inf |        inf |        inf |     419.76 |        inf
  average dram queueing delay        |     357.33 |       0.00 |       0.00 |       0.00 |     358.50 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00% |      1.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |       6918 |        164 |        160 |         96 |         84 |         52
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       1347 |        839 |        873 |       5510 |       7248 |       4533
