                                     | Core 0     | Core 1    
  Instructions                       |   24814541 |    5964302
  Cycles                             |   20229600 |   20229600
  IPC                                |       1.23 |       0.29
  Time (ns)                          |    5057400 |    5057400
  Idle time (ns)                     |       1358 |    3469841
  Idle time (%)                      |       0.0% |      68.6%
Branch predictor stats               |            |           
  num correct                        |    3111901 |    1359803
  num incorrect                      |     203550 |      66853
  misprediction rate                 |      6.14% |      4.69%
  mpki                               |       8.20 |      11.21
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    3171784 |     570644
    num misses                       |        168 |         28
    miss rate                        |      0.01% |      0.00%
    mpki                             |       0.01 |       0.00
  D-TLB                              |            |           
    num accesses                     |    6196401 |    1850001
    num misses                       |       5072 |       3430
    miss rate                        |      0.08% |      0.19%
    mpki                             |       0.20 |       0.58
  L2 TLB                             |            |           
    num accesses                     |       5240 |       3458
    num misses                       |        693 |        239
    miss rate                        |     13.23% |      6.91%
    mpki                             |       0.03 |       0.04
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    3171784 |     570644
    num cache misses                 |       2803 |        185
    miss rate                        |      0.09% |      0.03%
    mpki                             |       0.11 |       0.03
  Cache L1-D                         |            |           
    num cache accesses               |    6196401 |    1850001
    num cache misses                 |      99998 |      74771
    miss rate                        |      1.61% |      4.04%
    mpki                             |       4.03 |      12.54
  Cache L2                           |            |           
    num cache accesses               |     105990 |      78080
    num cache misses                 |      72709 |      56180
    miss rate                        |     68.60% |     71.95%
    mpki                             |       2.93 |       9.42
  Cache L3                           |            |           
    num cache accesses               |      76046 |      59351
    num cache misses                 |      71914 |      56172
    miss rate                        |     94.57% |     94.64%
    mpki                             |       2.90 |       9.42
DRAM summary                         |            |           
  num dram accesses                  |      13294 |      13258
  average dram access latency (ns)   |      61.37 |      61.36
  average dram queueing delay        |       0.12 |       0.10
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      10308 |         15
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |       1148 |       3821
