                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |    9653956 |    4779791 |  340123052 |   84315463 |  194856885 |  199055600 |  709029289 |  736217522 |    4524039
  Cycles                             |  471969960 |  471969960 |  471969960 |  622142220 |  622142220 |  471969960 |  471969960 |  622142220 |  622142220
  IPC                                |       0.02 |       0.01 |       0.72 |       0.14 |       0.31 |       0.42 |       1.50 |       1.18 |       0.01
  Time (ns)                          |  214531800 |  214531800 |  214531800 |  214531800 |  214531800 |  214531800 |  214531800 |  214531800 |  214531800
  Idle time (ns)                     |  212071743 |  211994140 |   17994858 |  164755666 |  182441774 |  175981239 |    8075008 |    6428174 |  213092303
  Idle time (%)                      |      98.9% |      98.8% |       8.4% |      76.8% |      85.0% |      82.0% |       3.8% |       3.0% |      99.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |    1275482 |     237086 |   17108452 |    4237739 |     298278 |     305075 |   85218142 |   87511002 |     464132
  num incorrect                      |       7629 |        728 |       2348 |        627 |       5296 |       5068 |    4010370 |    4111397 |       8031
  misprediction rate                 |      0.59% |      0.31% |      0.01% |      0.01% |      1.74% |      1.63% |      4.49% |      4.49% |      1.70%
  mpki                               |       0.79 |       0.15 |       0.01 |       0.01 |       0.03 |       0.03 |       5.66 |       5.58 |       1.78
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |    1524596 |     430473 |   25709030 |    6367615 |   10966799 |   11205243 |   80956978 |   83898598 |     614789
    num misses                       |        120 |         36 |         33 |         32 |         39 |         39 |         46 |         47 |         41
    miss rate                        |      0.01% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |    4811981 |    4094785 |  229315201 |   56849204 |   45576785 |   46570246 |  344492318 |  358952801 |    2476566
    num misses                       |      11676 |       5331 |       2310 |        623 |       4362 |       4333 |      42132 |      42893 |       3597
    miss rate                        |      0.24% |      0.13% |      0.00% |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.15%
    mpki                             |       1.21 |       1.12 |       0.01 |       0.01 |       0.02 |       0.02 |       0.06 |       0.06 |       0.80
  L2 TLB                             |            |            |            |            |            |            |            |            |           
    num accesses                     |      11796 |       5367 |       2343 |        655 |       4401 |       4372 |      42178 |      42940 |       3638
    num misses                       |       3242 |       5324 |       2277 |        614 |       3343 |       3363 |       3540 |       3736 |       1948
    miss rate                        |     27.48% |     99.20% |     97.18% |     93.74% |     75.96% |     76.92% |      8.39% |      8.70% |     53.55%
    mpki                             |       0.34 |       1.11 |       0.01 |       0.01 |       0.02 |       0.02 |       0.00 |       0.01 |       0.43
Cache Summary                        |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1524596 |     430473 |   25709030 |    6367615 |   10966799 |   11205243 |   80956978 |   83898598 |     614789
    num cache misses                 |       1931 |        555 |       1833 |        359 |       1480 |       3548 |      52221 |      39495 |        503
    miss rate                        |      0.13% |      0.13% |      0.01% |      0.01% |      0.01% |      0.03% |      0.06% |      0.05% |      0.08%
    mpki                             |       0.20 |       0.12 |       0.01 |       0.00 |       0.01 |       0.02 |       0.07 |       0.05 |       0.11
  Cache L1-D                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4811981 |    4094785 |  229315201 |   56849204 |   45576785 |   46570246 |  344492318 |  358952801 |    2476566
    num cache misses                 |     170566 |     334404 |     146563 |      36056 |      93640 |      96200 |    6400294 |    5095130 |      21532
    miss rate                        |      3.54% |      8.17% |      0.06% |      0.06% |      0.21% |      0.21% |      1.86% |      1.42% |      0.87%
    mpki                             |      17.67 |      69.96 |       0.43 |       0.43 |       0.48 |       0.48 |       9.03 |       6.92 |       4.76
  Cache L2                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |     180711 |     501107 |     150157 |      36853 |      98137 |     102873 |    6458122 |    5139527 |      30081
