                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   11003984 |    2990402 |    3029345 |    2790461 |    3081887 |    2943885 |    2552382 |    2974602 |    3249625 |    3170961 |    3402108 |    3365200
  Cycles                             |   30206800 |   30206800 |   30206800 |   30206800 |    7551700 |    7551700 |    7551700 |    7551700 |   30206800 |   30206800 |   30206800 |   30206800
  IPC                                |       0.36 |       0.10 |       0.10 |       0.09 |       0.41 |       0.39 |       0.34 |       0.39 |       0.11 |       0.10 |       0.11 |       0.11
  Time (ns)                          |    7551700 |    7551700 |    7551700 |    7551700 |    7551700 |    7551700 |    7551700 |    7551700 |    7551700 |    7551700 |    7551700 |    7551700
  Idle time (ns)                     |       1563 |    6167528 |    6168412 |    6168538 |    6138563 |    6138918 |    6139114 |    6139103 |    6169592 |    6169995 |    6170302 |    6170671
  Idle time (%)                      |       0.0% |      81.7% |      81.7% |      81.7% |      81.3% |      81.3% |      81.3% |      81.3% |      81.7% |      81.7% |      81.7% |      81.7%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1332341 |     946924 |     963655 |     865350 |     991162 |     934007 |     767163 |     946498 |    1031622 |     998719 |    1092984 |    1078470
  num incorrect                      |      77107 |       4641 |       4095 |       7486 |       2554 |       4572 |      10564 |       4306 |       5405 |       6287 |       3515 |       3882
  misprediction rate                 |      5.47% |      0.49% |      0.42% |      0.86% |      0.26% |      0.49% |      1.36% |      0.45% |      0.52% |      0.63% |      0.32% |      0.36%
  mpki                               |       7.01 |       1.55 |       1.35 |       2.68 |       0.83 |       1.55 |       4.14 |       1.45 |       1.66 |       1.98 |       1.03 |       1.15
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1394452 |      42950 |      38709 |      57729 |      27733 |      39643 |      77146 |      36607 |      43898 |      50897 |      33427 |      35506
    num misses                       |        168 |         26 |         26 |         26 |         26 |         26 |         26 |         28 |         26 |         26 |         26 |         26
    miss rate                        |      0.01% |      0.06% |      0.07% |      0.05% |      0.09% |      0.07% |      0.03% |      0.08% |      0.06% |      0.05% |      0.08% |      0.07%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2670037 |     566246 |     570966 |     547211 |     571555 |     557607 |     522417 |     560792 |     612144 |     603721 |     629182 |     624601
    num misses                       |       1581 |        133 |        142 |        144 |        132 |        138 |        133 |        124 |        132 |        122 |        121 |        122
    miss rate                        |      0.06% |      0.02% |      0.02% |      0.03% |      0.02% |      0.02% |      0.03% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.14 |       0.04 |       0.05 |       0.05 |       0.04 |       0.05 |       0.05 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       1749 |        159 |        168 |        170 |        158 |        164 |        159 |        152 |        158 |        148 |        147 |        148
    num misses                       |        594 |        135 |        137 |        135 |        132 |        138 |        132 |        127 |        130 |        126 |        129 |        131
    miss rate                        |     33.96% |     84.91% |     81.55% |     79.41% |     83.54% |     84.15% |     83.02% |     83.55% |     82.28% |     85.14% |     87.76% |     88.51%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05 |       0.04 |       0.05 |       0.05 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1394452 |      42950 |      38709 |      57729 |      27733 |      39643 |      77146 |      36607 |      43898 |      50897 |      33427 |      35506
    num cache misses                 |       2688 |        171 |        172 |        171 |        169 |        169 |        170 |        175 |        169 |        169 |        169 |        170
    miss rate                        |      0.19% |      0.40% |      0.44% |      0.30% |      0.61% |      0.43% |      0.22% |      0.48% |      0.38% |      0.33% |      0.51% |      0.48%
    mpki                             |       0.24 |       0.06 |       0.06 |       0.06 |       0.05 |       0.06 |       0.07 |       0.06 |       0.05 |       0.05 |       0.05 |       0.05
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2670037 |     566246 |     570966 |     547211 |     571555 |     557607 |     522417 |     560792 |     612144 |     603721 |     629182 |     624601
    num cache misses                 |      34002 |       8861 |       8824 |       9178 |       8737 |       8909 |       9285 |       8832 |       8812 |       8854 |       8636 |       8574
    miss rate                        |      1.27% |      1.56% |      1.55% |      1.68% |      1.53% |      1.60% |      1.78% |      1.57% |      1.44% |      1.47% |      1.37% |      1.37%
    mpki                             |       3.09 |       2.96 |       2.91 |       3.29 |       2.83 |       3.03 |       3.64 |       2.97 |       2.71 |       2.79 |       2.54 |       2.55
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      38907 |       9069 |       9018 |       9393 |       8924 |       9114 |       9502 |       9026 |       9309 |       9385 |       9093 |       9045
    num cache misses                 |      25645 |       8645 |       8619 |       8815 |       8525 |       8642 |       8836 |       8614 |       8531 |       8537 |       8404 |       8400
    miss rate                        |     65.91% |     95.32% |     95.58% |     93.85% |     95.53% |     94.82% |     92.99% |     95.44% |     91.64% |     90.96% |     92.42% |     92.87%
    mpki                             |       2.33 |       2.89 |       2.85 |       3.16 |       2.77 |       2.94 |       3.46 |       2.90 |       2.63 |       2.69 |       2.47 |       2.50
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      28380 |       8682 |       8642 |       8859 |       8543 |       8678 |       8885 |       8632 |       8859 |       8899 |       8692 |       8702
    num cache misses                 |      19713 |       2827 |       2860 |       3021 |       2771 |       2854 |       3130 |       2918 |       5673 |       5642 |       5651 |       5577
    miss rate                        |     69.46% |     32.56% |     33.09% |     34.10% |     32.44% |     32.89% |     35.23% |     33.80% |     64.04% |     63.40% |     65.01% |     64.09%
    mpki                             |       1.79 |       0.95 |       0.94 |       1.08 |       0.90 |       0.97 |       1.23 |       0.98 |       1.75 |       1.78 |       1.66 |       1.66
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      10919 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |      10847 |          0 |          0 |          0
  average dram access latency (ns)   |      61.36 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |      61.37 |        inf |        inf |        inf
  average dram queueing delay        |       0.11 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.12 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
