                                     | Core 0     | Core 1    
  Instructions                       |   12541051 |    3870217
  Cycles                             |    9362400 |    9362400
  IPC                                |       1.34 |       0.41
  Time (ns)                          |    9362400 |    9362400
  Idle time (ns)                     |       1265 |    6011393
  Idle time (%)                      |       0.0% |      64.2%
Branch predictor stats               |            |           
  num correct                        |    1524926 |     985591
  num incorrect                      |     100106 |      32352
  misprediction rate                 |      6.16% |      3.18%
  mpki                               |       7.98 |       8.36
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    1439958 |     270499
    num misses                       |        178 |         27
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01
  D-TLB                              |            |           
    num accesses                     |    2951850 |    1050289
    num misses                       |       1560 |        206
    miss rate                        |      0.05% |      0.02%
    mpki                             |       0.12 |       0.05
  L2 TLB                             |            |           
    num accesses                     |       1738 |        233
    num misses                       |        581 |        165
    miss rate                        |     33.43% |     70.82%
    mpki                             |       0.05 |       0.04
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    1439958 |     270499
    num cache misses                 |       3104 |        229
    miss rate                        |      0.22% |      0.08%
    mpki                             |       0.25 |       0.06
  Cache L1-D                         |            |           
    num cache accesses               |    2951850 |    1050289
    num cache misses                 |      58158 |      35150
    miss rate                        |      1.97% |      3.35%
    mpki                             |       4.64 |       9.08
  Cache L2                           |            |           
    num cache accesses               |      63423 |      35379
    num cache misses                 |      45679 |      28425
    miss rate                        |     72.02% |     80.34%
    mpki                             |       3.64 |       7.34
  Cache L3                           |            |           
    num cache accesses               |      47917 |      28452
    num cache misses                 |      18503 |       2013
    miss rate                        |     38.61% |      7.08%
    mpki                             |       1.48 |       0.52
DRAM summary                         |            |           
  num dram accesses                  |      20511 |          0
  average dram access latency (ns)   |      61.34 |        inf
  average dram queueing delay        |       0.08 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      11162 |        868
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
