                                     | Core 0     | Core 1    
  Instructions                       |   24868701 |    6046958
  Cycles                             |   19809000 |   19809000
  IPC                                |       1.26 |       0.31
  Time (ns)                          |    6603000 |    6603000
  Idle time (ns)                     |       1408 |    4372174
  Idle time (%)                      |       0.0% |      66.2%
Branch predictor stats               |            |           
  num correct                        |    3133189 |    1385933
  num incorrect                      |     203424 |      66885
  misprediction rate                 |      6.10% |      4.60%
  mpki                               |       8.18 |      11.06
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    3163548 |     574694
    num misses                       |        170 |         28
    miss rate                        |      0.01% |      0.00%
    mpki                             |       0.01 |       0.00
  D-TLB                              |            |           
    num accesses                     |    6206518 |    1861707
    num misses                       |       5792 |       4253
    miss rate                        |      0.09% |      0.23%
    mpki                             |       0.23 |       0.70
  L2 TLB                             |            |           
    num accesses                     |       5962 |       4281
    num misses                       |        695 |        245
    miss rate                        |     11.66% |      5.72%
    mpki                             |       0.03 |       0.04
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    3163548 |     574694
    num cache misses                 |       3485 |        311
    miss rate                        |      0.11% |      0.05%
    mpki                             |       0.14 |       0.05
  Cache L1-D                         |            |           
    num cache accesses               |    6206518 |    1861707
    num cache misses                 |     100320 |      74758
    miss rate                        |      1.62% |      4.02%
    mpki                             |       4.03 |      12.36
  Cache L2                           |            |           
    num cache accesses               |     105804 |      75074
    num cache misses                 |      78148 |      58465
    miss rate                        |     73.86% |     77.88%
    mpki                             |       3.14 |       9.67
  Cache L3                           |            |           
    num cache accesses               |      80254 |      58509
    num cache misses                 |      22471 |       4096
    miss rate                        |     28.00% |      7.00%
    mpki                             |       0.90 |       0.68
DRAM summary                         |            |           
  num dram accesses                  |      26546 |          0
  average dram access latency (ns)   |      61.52 |        inf
  average dram queueing delay        |       0.27 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      11885 |       2219
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
