                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |     353478 |          0 |          0 |          0 |          0 |          0
  Cycles                             |     381300 |     381300 |     381300 |     381300 |     381300 |     381300
  IPC                                |       0.93 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |     381300 |     381300 |     381300 |     381300 |     381300 |     381300
  Idle time (ns)                     |        209 |     381300 |     381300 |     381300 |     381300 |     381300
  Idle time (%)                      |       0.1% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |      52656 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |       3475 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      6.19% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       9.83 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |      41999 |          0 |          0 |          0 |          0 |          0
    num misses                       |         94 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.22% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.27 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |     148581 |          0 |          0 |          0 |          0 |          0
    num misses                       |        512 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.34% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       1.45 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |        606 |          0 |          0 |          0 |          0 |          0
    num misses                       |        287 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     47.36% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.81 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |      41999 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |       1286 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      3.06% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       3.64 |        inf |        inf |        inf |        inf |        inf
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |     148581 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |       9451 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      6.36% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |      26.74 |        inf |        inf |        inf |        inf |        inf
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |      12614 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |       9221 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     73.10% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |      26.09 |        inf |        inf |        inf |        inf |        inf
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      11104 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |       8785 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     79.12% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |      24.85 |        inf |        inf |        inf |        inf |        inf
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |       4418 |          0 |          0 |          0 |       4367 |          0
  average dram access latency (ns)   |      61.32 |        inf |        inf |        inf |      61.31 |        inf
  average dram queueing delay        |       0.06 |       0.00 |       0.00 |       0.00 |       0.06 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00% |      1.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |       6155 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0
