                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
    mpki                             |       1.40 |       1.51 |       1.45 |       1.43 |       1.54 |       1.43 |       1.62 |       1.67 |       1.65 |       1.71 |       1.97 |       1.69
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      18476 |          0 |          0 |          0 |          0 |          0 |      18409 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      61.40 |        inf |        inf |        inf |        inf |        inf |      61.39 |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.15 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.14 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      10638 |        368 |        340 |        342 |        337 |        313 |        301 |        286 |        286 |        288 |        300 |        298
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       2879 |       2829 |       2756 |       2735 |       2918 |       2748 |       3655 |       3756 |       3782 |       3763 |       3913 |       3697
