                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   22027666 |    4871439 |    4581972 |    4681132 |    4155110 |    3690573
  Cycles                             |   63360400 |   63360400 |   63360400 |   63360400 |   15840100 |   15840100
  IPC                                |       0.35 |       0.08 |       0.07 |       0.07 |       0.26 |       0.23
  Time (ns)                          |   15840100 |   15840100 |   15840100 |   15840100 |   15840100 |   15840100
  Idle time (ns)                     |       1474 |   12611725 |   12612995 |   12612813 |   12582740 |   12583106
  Idle time (%)                      |       0.0% |      79.6% |      79.6% |      79.6% |      79.4% |      79.4%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    2520228 |    1464112 |    1343588 |    1384269 |    1175844 |     978922
  num incorrect                      |     170194 |      13742 |      17674 |      16141 |      22009 |      28874
  misprediction rate                 |      6.33% |      0.93% |      1.30% |      1.15% |      1.84% |      2.87%
  mpki                               |       7.73 |       2.82 |       3.86 |       3.45 |       5.30 |       7.82
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    2615150 |     133814 |     160425 |     155694 |     187108 |     234606
    num misses                       |        174 |         29 |         27 |         27 |         27 |         27
    miss rate                        |      0.01% |      0.02% |      0.02% |      0.02% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |    5232333 |    1057315 |    1028189 |    1038782 |     977844 |     930785
    num misses                       |       2639 |       1190 |       1220 |       1261 |       1200 |       1175
    miss rate                        |      0.05% |      0.11% |      0.12% |      0.12% |      0.12% |      0.13%
    mpki                             |       0.12 |       0.24 |       0.27 |       0.27 |       0.29 |       0.32
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |       2813 |       1219 |       1247 |       1288 |       1227 |       1202
    num misses                       |        673 |        189 |        204 |        186 |        180 |        191
    miss rate                        |     23.92% |     15.50% |     16.36% |     14.44% |     14.67% |     15.89%
    mpki                             |       0.03 |       0.04 |       0.04 |       0.04 |       0.04 |       0.05
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    2615150 |     133814 |     160425 |     155694 |     187108 |     234606
    num cache misses                 |       2794 |        178 |        172 |        174 |        176 |        185
    miss rate                        |      0.11% |      0.13% |      0.11% |      0.11% |      0.09% |      0.08%
    mpki                             |       0.13 |       0.04 |       0.04 |       0.04 |       0.04 |       0.05
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |    5232333 |    1057315 |    1028189 |    1038782 |     977844 |     930785
    num cache misses                 |      60128 |      33134 |      33401 |      33284 |      33418 |      33672
    miss rate                        |      1.15% |      3.13% |      3.25% |      3.20% |      3.42% |      3.62%
    mpki                             |       2.73 |       6.80 |       7.29 |       7.11 |       8.04 |       9.12
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |      65076 |      33320 |      33576 |      33458 |      33594 |      33859
    num cache misses                 |      49051 |      30049 |      30193 |      30142 |      30207 |      30383
    miss rate                        |     75.37% |     90.18% |     89.92% |     90.09% |     89.92% |     89.73%
    mpki                             |       2.23 |       6.17 |       6.59 |       6.44 |       7.27 |       8.23
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      51511 |      30082 |      30223 |      30167 |      30211 |      30386
    num cache misses                 |      20220 |       1328 |       1376 |       1397 |       1465 |       1445
    miss rate                        |     39.25% |      4.41% |      4.55% |      4.63% |      4.85% |      4.76%
    mpki                             |       0.92 |       0.27 |       0.30 |       0.30 |       0.35 |       0.39
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      27142 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      61.37 |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.12 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |      10936 |        708 |        705 |        760 |        724 |        692
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0
