                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |    9696046 |    4410597 |   84090221 |   84061896 |  171984009 |   84315901 |   97023149 |   96184323 |   98218743 |  102501869 |  377428789 |  357465729 |  343532655 |  366831270 |    4575843
  Cycles                             |  242566500 |  319746750 |  319746750 |  319746750 |  242566500 |  319746750 |  242566500 |  242566500 |  242566500 |  319746750 |  319746750 |  319746750 |  242566500 |  319746750 |  242566500
  IPC                                |       0.04 |       0.01 |       0.26 |       0.26 |       0.71 |       0.26 |       0.40 |       0.40 |       0.40 |       0.32 |       1.18 |       1.12 |       1.42 |       1.15 |       0.02
  Time (ns)                          |  110257500 |  110257500 |  110257500 |  110257500 |  110257500 |  110257500 |  110257500 |  110257500 |  110257500 |  110257500 |  110257500 |  110257500 |  110257500 |  110257500 |  110257500
  Idle time (ns)                     |  106519340 |  108159743 |   60633946 |   60752335 |   11571058 |   60495504 |   92841357 |   92712946 |   92358944 |   94507623 |    7854668 |    9742007 |    7821505 |   10688098 |  108574119
  Idle time (%)                      |      96.6% |      98.1% |      55.0% |      55.1% |      10.5% |      54.9% |      84.2% |      84.1% |      83.8% |      85.7% |       7.1% |       8.8% |       7.1% |       9.7% |      98.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1279299 |     175565 |    4227097 |    4224607 |    8658484 |    4237944 |     151066 |     150523 |     147564 |     156142 |   44840152 |   42815400 |   41194585 |   43884691 |     466836
  num incorrect                      |       7617 |        728 |        639 |        623 |       1470 |        624 |       2712 |       2748 |       2624 |       2753 |    2007612 |    2073774 |    2045356 |    1991527 |       8452
  misprediction rate                 |      0.59% |      0.41% |      0.02% |      0.01% |      0.02% |      0.01% |      1.76% |      1.79% |      1.75% |      1.73% |      4.29% |      4.62% |      4.73% |      4.34% |      1.78%
  mpki                               |       0.79 |       0.17 |       0.01 |       0.01 |       0.01 |       0.01 |       0.03 |       0.03 |       0.03 |       0.03 |       5.32 |       5.80 |       5.95 |       5.43 |       1.85
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1529850 |     430473 |    6352659 |    6347297 |   13010256 |    6367462 |    5463785 |    5418173 |    5523834 |    5767707 |   42936658 |   40910113 |   39242258 |   41770481 |     619205
    num misses                       |        113 |         36 |         35 |         32 |         34 |         34 |         39 |         38 |         39 |         39 |         46 |         47 |         40 |         40 |         41
    miss rate                        |      0.01% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4836237 |    3848699 |   56692403 |   56681278 |  115948406 |   56849133 |   22708349 |   22518904 |   22956548 |   23971266 |  186592817 |  172877056 |  163580002 |  180404342 |    2506923
    num misses                       |      14096 |       5332 |        716 |        598 |       1183 |        594 |       2169 |       2209 |       2122 |       2246 |      21539 |      20162 |      17729 |      22763 |       4328
    miss rate                        |      0.29% |      0.14% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.17%
    mpki                             |       1.45 |       1.21 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.06 |       0.06 |       0.05 |       0.06 |       0.95
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      14209 |       5368 |        751 |        630 |       1217 |        628 |       2208 |       2247 |       2161 |       2285 |      21585 |      20209 |      17769 |      22803 |       4369
    num misses                       |       5895 |       5325 |        629 |        614 |       1191 |        618 |       1757 |       1752 |       1725 |       1809 |       2118 |       1867 |       1689 |       1939 |       2264
    miss rate                        |     41.49% |     99.20% |     83.75% |     97.46% |     97.86% |     98.41% |     79.57% |     77.97% |     79.82% |     79.17% |      9.81% |      9.24% |      9.51% |      8.50% |     51.82%
    mpki                             |       0.61 |       1.21 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.01 |       0.01 |       0.00 |       0.01 |       0.49
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1529850 |     430473 |    6352659 |    6347297 |   13010256 |    6367462 |    5463785 |    5418173 |    5523834 |    5767707 |   42936658 |   40910113 |   39242258 |   41770481 |     619205
    num cache misses                 |       1999 |        467 |        409 |        398 |       1061 |        397 |       2110 |       2152 |       1961 |       1067 |      17180 |      17830 |      21313 |      17807 |        534
    miss rate                        |      0.13% |      0.11% |      0.01% |      0.01% |      0.01% |      0.01% |      0.04% |      0.04% |      0.04% |      0.02% |      0.04% |      0.04% |      0.05% |      0.04% |      0.09%
    mpki                             |       0.21 |       0.11 |       0.00 |       0.00 |       0.01 |       0.00 |       0.02 |       0.02 |       0.02 |       0.01 |       0.05 |       0.05 |       0.06 |       0.05 |       0.12
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4836237 |    3848699 |   56692403 |   56681278 |  115948406 |   56849133 |   22708349 |   22518904 |   22956548 |   23971266 |  186592817 |  172877056 |  163580002 |  180404342 |    2506923
    num cache misses                 |     173469 |     334386 |      36412 |      36129 |      74931 |      36325 |      47412 |      46954 |      47446 |      49460 |    2706276 |    2428738 |    3081316 |    2613028 |      26534
    miss rate                        |      3.59% |      8.69% |      0.06% |      0.06% |      0.06% |      0.06% |      0.21% |      0.21% |      0.21% |      0.21% |      1.45% |      1.40% |      1.88% |      1.45% |      1.06%
    mpki                             |      17.89 |      75.81 |       0.43 |       0.43 |       0.44 |       0.43 |       0.49 |       0.49 |       0.48 |       0.48 |       7.17 |       6.79 |       8.97 |       7.12 |       5.80
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     240794 |     377959 |      37160 |      36874 |      76897 |      37050 |      50329 |      50708 |      50870 |      52111 |    2725579 |    2448610 |    3104330 |    2632817 |      35453
    num cache misses                 |     162461 |     333515 |      36451 |      36208 |      74950 |      36394 |      48756 |      48298 |      48904 |      50003 |     106444 |      98565 |      97546 |      99892 |      18334
    miss rate                        |     67.47% |     88.24% |     98.09% |     98.19% |     97.47% |     98.23% |     96.87% |     95.25% |     96.14% |     95.95% |      3.91% |      4.03% |      3.14% |      3.79% |     51.71%
    mpki                             |      16.76 |      75.62 |       0.43 |       0.43 |       0.44 |       0.43 |       0.50 |       0.50 |       0.50 |       0.49 |       0.28 |       0.28 |       0.28 |       0.27 |       4.01
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     227791 |     376622 |      36790 |      36555 |      75868 |      36722 |      49563 |      49900 |      50367 |      51587 |     108668 |     100685 |      99301 |     101955 |      26719
    num cache misses                 |     156455 |     332930 |      35113 |      32651 |      14230 |      34973 |       4005 |      45765 |      46210 |      48766 |      68049 |      66807 |      50166 |      54050 |      16935
    miss rate                        |     68.68% |     88.40% |     95.44% |     89.32% |     18.76% |     95.24% |      8.08% |     91.71% |     91.75% |     94.53% |     62.62% |     66.35% |     50.52% |     53.01% |     63.38%
    mpki                             |      16.14 |      75.48 |       0.42 |       0.39 |       0.08 |       0.41 |       0.04 |       0.48 |       0.47 |       0.48 |       0.18 |       0.19 |       0.15 |       0.15 |       3.70
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     355916 |          0 |          0 |          0 |          0 |          0 |          0 |     355901 |          0 |          0 |          0 |          0 |          0 |          0 |     355942
  average dram access latency (ns)   |      61.29 |        inf |        inf |        inf |        inf |        inf |        inf |      61.30 |        inf |        inf |        inf |        inf |        inf |        inf |      61.29
  average dram queueing delay        |       0.04 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.05 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.04
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      75685 |     208940 |      33090 |      30743 |      10086 |      33087 |       1849 |       1488 |       1448 |       1494 |        921 |        745 |        517 |        881 |       3254
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       4020 |          1 |        443 |        479 |       1369 |        443 |        437 |      41779 |      42548 |      44524 |      14757 |      17817 |       9020 |       6100 |       9164
