feature,importance
avg_ipc,0.03334700939564544
ipc_cv,0.05662770485078453
pe_ratio,0.0
local_ratio,0.0
remote_ratio,0.0
l2_intensity,0.04201909863288183
l3_intensity,0.0291243422765318
mem_intensity,0.018453651039078176
read_ratio,0.013855201948884647
cpi_l3_ratio,0.0217423043176812
cpi_dram_local_ratio,0.01651350814775079
cpi_dram_remote_ratio,0.0
cpi_branch_ratio,0.09988191151992304
cpi_sync_ratio,0.04857712770598628
uop_load_ratio,0.016632650431645406
uop_store_ratio,0.029514243509541436
uop_fp_ratio,0.04509365771820905
dtlb_miss_rate,0.04519585011781709
branch_mispredict_rate,0.038410223102254705
avg_dram_latency,0.12357367225978136
dram_queue_ratio,0.09440934986286745
l1d_hit_ratio,0.03537778642749927
futex_wake_per_minst,0.013153214835734579
mem_bw_mbps,0.04581417820434332
operational_intensity,0.03489194007715185
itlb_miss_rate,0.04040040995137909
stlb_miss_rate,0.03627080999083871
load_l1_ratio,0.021120153675788997
