,Packed,Scatter,HPO,EPO
BC,0.0025109,0.0024846,0.0025109,0.0084358
BFS,0.0025088,0.0024891,0.0025098,0.0084683
BT,0.0153598,0.0153274,0.015363,0.0628224
CC,0.0025184,0.0024965,0.00252,0.0084963
CG,0.0092701,0.0091399,0.0092694,0.0364109
FT,0.0208693,0.0178809,0.021131,0.0683483
IS,0.0027559,0.0027364,0.0027623,0.0107175
MG,0.0015005,0.0014762,0.0014982,0.0055288
PR,0.0025122,0.0024886,0.0025125,0.0084386
SP,0.008693,0.0086693,0.0087167,0.0351741
SSSP,0.0026976,0.0026721,0.002701,0.0091802
TC,0.002512,0.0024932,0.0025164,0.0084686
lavaMD,0.0001754,0.0001768,0.0001754,0.0003716
