,avg_ipc,ipc_cv,pe_ratio,local_ratio,remote_ratio,l2_intensity,l3_intensity,mem_intensity,read_ratio,cpi_l3_ratio,cpi_dram_local_ratio,cpi_dram_remote_ratio,cpi_branch_ratio,cpi_sync_ratio,uop_load_ratio,uop_store_ratio,uop_fp_ratio,dtlb_miss_rate,branch_mispredict_rate,avg_dram_latency,dram_queue_ratio,l1d_hit_ratio,futex_wake_per_minst,mem_bw_mbps,operational_intensity,itlb_miss_rate,stlb_miss_rate,load_l1_ratio,best_strategy
BC,0.5601463201610937,0.6406874494759844,1.0,1.0,0.0,0.000802015212103747,3.295890651713052e-05,0.0005612560825661977,0.989461637499404,0.0012198173144538484,0.09408149393309453,0.0,0.24794876258959786,0.5171695480941058,0.16856099686731565,0.045637421690532844,8.151133425291704e-08,0.0004039086012536592,0.028185346784654543,62126513.54987952,0.6995520770763879,0.9800129690352786,2.9327,540.9942133376868,1.506024096385542e-06,0.00012196052992330411,0.4261052631578947,0.9689824160011654,Packed
BFS,0.5574392891645421,0.6324265931176132,1.0,1.0,0.0,0.0007987709353810034,3.293202193715369e-05,0.000558986062346145,0.9901498929336189,0.0011811616365681077,0.09350824750013459,0.0,0.2502565974381075,0.5184491553105532,0.1683807132902517,0.04529737350278428,8.097188611579522e-08,0.00035195849923833983,0.028274004375168662,62106975.01730104,0.6839364918248094,0.9800949482641962,2.934,536.5458915447342,1.5018262206843522e-06,0.0001474578102057951,0.4806054872280038,0.9689218769456532,Packed
BT,2.772844445749212,0.010267297365207383,1.0,1.0,0.0,0.002890640592734877,6.018333049069849e-07,1.021648732232345e-05,0.9995495749113226,3.5204516366696143e-05,0.0016034794349236792,0.0,0.0028978494104550737,7.627587032256453e-06,0.2460481349459195,0.13157363082516307,0.16579037734035143,8.625879604468393e-05,0.0007229115064812873,126163425.79620346,51.87913060549181,0.9878972221366557,5.2402,73.99275055448147,191.70550928012167,6.733025596763232e-06,0.039538714991762765,0.8958433569690559,Packed
CC,0.5506351158721209,0.6429200424885622,1.0,1.0,0.0,0.0008059196037401601,2.8999426759759084e-05,0.0005629810097527443,0.9898642187798814,0.001042212770946566,0.09351716942580347,0.0,0.2527380439569654,0.5221730441707876,0.16860701811573808,0.045687406358538095,8.17583907921084e-08,0.00038910453833739336,0.028799880246702297,62092079.197256565,0.6720314551050725,0.9799797088363649,2.9359,532.269588977705,1.509370170015456e-06,0.00013260947098980673,0.42782152230971127,0.9692382478813677,Packed
CG,2.2011550906605315,0.006199312222055536,1.0,1.0,0.0,0.02666713648702587,8.350569997904304e-06,2.4564823074143134e-05,0.9987701497781877,0.00027778162313737487,0.00407921469386663,0.0,0.04445098334429887,0.0028030536304691415,0.31913331403527595,0.015587293521232979,0.0968852152572736,0.000643430133887869,0.004354845029142607,2726795557.561458,2130.3562423566264,0.9229988446508254,26.4117,313.89356810025464,24.251541954351556,2.7004815680546755e-05,0.021398237941306967,0.8047632050768155,Packed
FT,2.356857826253493,0.014175249886699187,1.0,1.0,0.0,0.014789344167881045,0.0007242421383718924,0.002038500102929323,0.5379211350548354,0.009059409496936682,0.2664511293175219,0.0,0.021292759167454007,0.002509632196709418,0.16503339240500445,0.14565189300337875,0.1118304995269727,0.00085865881242844,0.005896508836274301,4132863891.661536,1727.8365240562953,0.8956907307093169,0.4698,14628.438069873826,0.7020674920834701,4.653101825061444e-06,0.1890568614964329,0.6790944876172822,Scatter
IS,0.8084642904417243,0.006483160220777409,1.0,1.0,0.0,0.003078594064184026,8.622215072790155e-06,0.00016536636370948282,0.9992167832167832,0.00020522914442206415,0.009261799008072216,0.0,0.008407107352669047,3.8902891376120276e-05,0.22903112388140082,0.09462693088128606,0.07967549168739205,0.0037019139364688355,0.0034186720015571613,528852190.32417,373.7160294146273,0.9728360699580898,5.6104,380.5727464956076,4.587917634790885,7.613762298341046e-05,0.028141086749285033,0.985241135883011,Scatter
MG,1.6385231600252663,0.023367015273381853,1.0,1.0,0.0,0.011044334109309753,1.605398710629714e-05,0.00018870387364000292,0.9987287519976754,0.0007568848467348005,0.022111354711352553,0.0,0.022124097053487522,7.429055601600401e-05,0.333590931134097,0.06630985981078834,0.02847643663062581,0.0002705645473757209,0.004796102639408202,874314554.4226643,649.8164466861657,0.969609656027693,65.6288,1166.3806457781113,3.5027991690002547,7.620625865504071e-05,0.21595294982539975,0.8824419506491357,Scatter
PR,0.5560077431214657,0.6507897865565269,1.0,1.0,0.0,0.0008128589022286822,3.1170636565643026e-05,0.000565870456479804,0.9899095668729176,0.001085198467416858,0.09498392902746522,0.0,0.24846484805233912,0.5175531120378795,0.1687473302254969,0.04592559265971486,8.196563762770298e-08,0.0003865388190637201,0.028455621430545093,62108173.36570824,0.6848942357924594,0.9798574563589567,2.9241,541.1884766836007,1.502548321954034e-06,0.00014196665312523205,0.4410862899693386,0.9691599356573147,Packed
SP,2.170703889493924,0.06504700603058423,1.0,1.0,0.0,0.012184941505789927,1.28243615273451e-06,2.2997914305996704e-05,0.9993939060003306,6.438068035624206e-05,0.0030304905967688226,0.0,0.010778452184667891,1.54268616301745e-05,0.23428479541346386,0.095566803999386,0.11986227048527762,0.00020417226459917782,0.0022359336395443583,119671565.3688389,46.69070616585325,0.9483263201833084,32.2961,133.25745398379502,70.65897735417356,1.4263480837919869e-05,0.04684504096217535,0.7604925558541977,Packed
