                                     | Core 0      | Core 1     
  Instructions                       |  4122569618 |  4160066328
  Cycles                             |  4098479400 |  4098479400
  IPC                                |        1.01 |        1.02
  Time (ns)                          |  4098479400 |  4098479400
  Idle time (ns)                     |    17289913 |      523997
  Idle time (%)                      |        0.4% |        0.0%
Branch predictor stats               |             |            
  num correct                        |   760713890 |   772781427
  num incorrect                      |     2252517 |     2295273
  misprediction rate                 |       0.30% |       0.30%
  mpki                               |        0.55 |        0.55
TLB Summary                          |             |            
  I-TLB                              |             |            
    num accesses                     |   224084281 |   225663941
    num misses                       |         236 |          27
    miss rate                        |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00
  D-TLB                              |             |            
    num accesses                     |  1462426774 |  1468255172
    num misses                       |     1956928 |     2173649
    miss rate                        |       0.13% |       0.15%
    mpki                             |        0.47 |        0.52
  L2 TLB                             |             |            
    num accesses                     |     1957164 |     2173676
    num misses                       |     1317483 |     1315534
    miss rate                        |      67.32% |      60.52%
    mpki                             |        0.32 |        0.32
Cache Summary                        |             |            
  Cache L1-I                         |             |            
    num cache accesses               |   224084281 |   225663941
    num cache misses                 |      104621 |       87455
    miss rate                        |       0.05% |       0.04%
    mpki                             |        0.03 |        0.02
  Cache L1-D                         |             |            
    num cache accesses               |  1462426774 |  1468255172
    num cache misses                 |   419632108 |   419490408
    miss rate                        |      28.69% |      28.57%
    mpki                             |      101.79 |      100.84
  Cache L2                           |             |            
    num cache accesses               |   421765610 |   421602786
    num cache misses                 |    80501930 |    80463146
    miss rate                        |      19.09% |      19.09%
    mpki                             |       19.53 |       19.34
  Cache L3                           |             |            
    num cache accesses               |    82562676 |    82524245
    num cache misses                 |    77425426 |    77412228
    miss rate                        |      93.78% |      93.81%
    mpki                             |       18.78 |       18.61
DRAM summary                         |             |            
  num dram accesses                  |   160727998 |           0
  average dram access latency (ns)   |       62.01 |         inf
  average dram queueing delay        |        0.76 |        0.00
  average dram bandwidth utilization |       4.00% |       0.00%
Coherency Traffic                    |             |            
  num loads from dram                |    76643850 |    76636141
  num loads from dram cache          |           0 |           0
  num loads from remote cache        |           0 |           0
