                                     | Core 0     | Core 1    
  Instructions                       |   17567751 |   17603876
  Cycles                             |    9921190 |    9921190
  IPC                                |       1.77 |       1.77
  Time (ns)                          |    3421100 |    3421100
  Idle time (ns)                     |        575 |     355618
  Idle time (%)                      |       0.0% |      10.4%
Branch predictor stats               |            |           
  num correct                        |    1034300 |    1226088
  num incorrect                      |      26923 |      10013
  misprediction rate                 |      2.54% |      0.81%
  mpki                               |       1.53 |       0.57
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    1957284 |    1809763
    num misses                       |        281 |         30
    miss rate                        |      0.01% |      0.00%
    mpki                             |       0.02 |       0.00
  D-TLB                              |            |           
    num accesses                     |    9308533 |    8929027
    num misses                       |       5548 |       2906
    miss rate                        |      0.06% |      0.03%
    mpki                             |       0.32 |       0.17
  L2 TLB                             |            |           
    num accesses                     |       5829 |       2936
    num misses                       |        932 |        320
    miss rate                        |     15.99% |     10.90%
    mpki                             |       0.05 |       0.02
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    1957284 |    1809763
    num cache misses                 |       7239 |        401
    miss rate                        |      0.37% |      0.02%
    mpki                             |       0.41 |       0.02
  Cache L1-D                         |            |           
    num cache accesses               |    9308533 |    8929027
    num cache misses                 |     217500 |     207034
    miss rate                        |      2.34% |      2.32%
    mpki                             |      12.38 |      11.76
  Cache L2                           |            |           
    num cache accesses               |     229038 |     209133
    num cache misses                 |      25655 |      17884
    miss rate                        |     11.20% |      8.55%
    mpki                             |       1.46 |       1.02
  Cache L3                           |            |           
    num cache accesses               |      33934 |      23774
    num cache misses                 |      17797 |       8551
    miss rate                        |     52.45% |     35.97%
    mpki                             |       1.01 |       0.49
DRAM summary                         |            |           
  num dram accesses                  |      26338 |          0
  average dram access latency (ns)   |      66.06 |        inf
  average dram queueing delay        |       4.81 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       5402 |        219
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
