                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   11228201 |    3070623 |    3377848 |    2835938 |    3762184 |    4046962
  Cycles                             |    7631700 |    7631700 |    7631700 |    7631700 |    7631700 |    7631700
  IPC                                |       1.47 |       0.40 |       0.44 |       0.37 |       0.49 |       0.53
  Time (ns)                          |    7631700 |    7631700 |    7631700 |    7631700 |    7631700 |    7631700
  Idle time (ns)                     |       1432 |    5817972 |    5818441 |    5818960 |    5819012 |    5819058
  Idle time (%)                      |       0.0% |      76.2% |      76.2% |      76.2% |      76.2% |      76.2%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    1365551 |     916109 |    1043954 |     819153 |    1147297 |    1268573
  num incorrect                      |      78947 |      11138 |       6894 |      14821 |      11224 |       7151
  misprediction rate                 |      5.47% |      1.20% |      0.66% |      1.78% |      0.97% |      0.56%
  mpki                               |       7.03 |       3.63 |       2.04 |       5.23 |       2.98 |       1.77
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    1668336 |      90879 |      65155 |     106372 |      89780 |      63128
    num misses                       |        169 |         26 |         26 |         28 |         26 |         28
    miss rate                        |      0.01% |      0.03% |      0.04% |      0.03% |      0.03% |      0.04%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |    2767981 |     656530 |     686274 |     633178 |     770790 |     797876
    num misses                       |       1419 |        134 |        180 |        138 |        153 |        174
    miss rate                        |      0.05% |      0.02% |      0.03% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.13 |       0.04 |       0.05 |       0.05 |       0.04 |       0.04
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |       1588 |        160 |        206 |        166 |        179 |        202
    num misses                       |        589 |        138 |        139 |        135 |        144 |        137
    miss rate                        |     37.09% |     86.25% |     67.48% |     81.33% |     80.45% |     67.82%
    mpki                             |       0.05 |       0.04 |       0.04 |       0.05 |       0.04 |       0.03
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    1668336 |      90879 |      65155 |     106372 |      89780 |      63128
    num cache misses                 |       2968 |        175 |        173 |        181 |        173 |        181
    miss rate                        |      0.18% |      0.19% |      0.27% |      0.17% |      0.19% |      0.29%
    mpki                             |       0.26 |       0.06 |       0.05 |       0.06 |       0.05 |       0.04
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |    2767981 |     656530 |     686274 |     633178 |     770790 |     797876
    num cache misses                 |      40520 |      16498 |      16369 |      16864 |      15805 |      15595
    miss rate                        |      1.46% |      2.51% |      2.39% |      2.66% |      2.05% |      1.95%
    mpki                             |       3.61 |       5.37 |       4.85 |       5.95 |       4.20 |       3.85
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |      45739 |      16752 |      16586 |      17114 |      16660 |      16363
    num cache misses                 |      33174 |      14996 |      15007 |      15294 |      14251 |      14151
    miss rate                        |     72.53% |     89.52% |     90.48% |     89.37% |     85.54% |     86.48%
    mpki                             |       2.95 |       4.88 |       4.44 |       5.39 |       3.79 |       3.50
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      35671 |      15096 |      15055 |      15363 |      14933 |      14739
    num cache misses                 |      21960 |       5258 |       5304 |       5536 |      10711 |      10474
    miss rate                        |     61.56% |     34.83% |     35.23% |     36.03% |     71.73% |     71.06%
    mpki                             |       1.96 |       1.71 |       1.57 |       1.95 |       2.85 |       2.59
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      10527 |          0 |          0 |          0 |      10473 |          0
  average dram access latency (ns)   |      61.30 |        inf |        inf |        inf |      61.29 |        inf
  average dram queueing delay        |       0.05 |       0.00 |       0.00 |       0.00 |       0.04 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |      10483 |        217 |        205 |        203 |        105 |        108
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       1584 |       1592 |       1576 |       1601 |       2602 |       2481
