                                     | Core 0     | Core 1    
  Instructions                       |   12284044 |    3924893
  Cycles                             |   10745200 |   10745200
  IPC                                |       1.14 |       0.37
  Time (ns)                          |    2686300 |    2686300
  Idle time (ns)                     |       1378 |    1820665
  Idle time (%)                      |       0.1% |      67.8%
Branch predictor stats               |            |           
  num correct                        |    1539448 |    1000158
  num incorrect                      |      99237 |      31902
  misprediction rate                 |      6.06% |      3.09%
  mpki                               |       8.08 |       8.13
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    1589063 |     276481
    num misses                       |        176 |         28
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01
  D-TLB                              |            |           
    num accesses                     |    3200461 |    1077213
    num misses                       |       1377 |        201
    miss rate                        |      0.04% |      0.02%
    mpki                             |       0.11 |       0.05
  L2 TLB                             |            |           
    num accesses                     |       1553 |        229
    num misses                       |        563 |        159
    miss rate                        |     36.25% |     69.43%
    mpki                             |       0.05 |       0.04
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    1589063 |     276481
    num cache misses                 |       2672 |        178
    miss rate                        |      0.17% |      0.06%
    mpki                             |       0.22 |       0.05
  Cache L1-D                         |            |           
    num cache accesses               |    3200461 |    1077213
    num cache misses                 |      57971 |      35146
    miss rate                        |      1.81% |      3.26%
    mpki                             |       4.72 |       8.95
  Cache L2                           |            |           
    num cache accesses               |      63193 |      36931
    num cache misses                 |      42188 |      28394
    miss rate                        |     66.76% |     76.88%
    mpki                             |       3.43 |       7.23
  Cache L3                           |            |           
    num cache accesses               |      44840 |      30016
    num cache misses                 |      41364 |      28394
    miss rate                        |     92.25% |     94.60%
    mpki                             |       3.37 |       7.23
DRAM summary                         |            |           
  num dram accesses                  |       9357 |       9316
  average dram access latency (ns)   |      61.42 |      61.40
  average dram queueing delay        |       0.17 |       0.15
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      10186 |         12
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |        585 |       2126
