                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  112214035 |  113293881 |  112649794 |  112748422 |   95512875 |   95433128 |   96229594 |   96558861
  Cycles                             |   52467380 |   52467380 |   52467380 |   52467380 |   39802840 |   39802840 |   39802840 |   39802840
  IPC                                |       2.14 |       2.16 |       2.15 |       2.15 |       2.40 |       2.40 |       2.42 |       2.43
  Time (ns)                          |   18092200 |   18092200 |   18092200 |   18092200 |   18092200 |   18092200 |   18092200 |   18092200
  Idle time (ns)                     |        345 |     284704 |     285933 |     286978 |     287964 |     288936 |     289925 |     290908
  Idle time (%)                      |       0.0% |       1.6% |       1.6% |       1.6% |       1.6% |       1.6% |       1.6% |       1.6%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     708957 |    1335706 |   18989110 |   19022094 |   13489900 |   13463443 |   13965635 |   14075512
  num incorrect                      |      13312 |       5173 |       3942 |       3871 |       3826 |       3703 |       3199 |       3073
  misprediction rate                 |      1.84% |      0.39% |      0.02% |      0.02% |      0.03% |      0.03% |      0.02% |      0.02%
  mpki                               |       0.12 |       0.05 |       0.03 |       0.03 |       0.04 |       0.04 |       0.03 |       0.03
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   10655769 |   10472896 |    5345233 |    5345233 |    5274946 |    5274946 |    5210776 |    5210777
    num misses                       |        257 |         38 |         38 |         38 |         38 |         38 |         38 |         38
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   51709062 |   51448720 |   35393873 |   35410253 |   32328912 |   32315618 |   32221370 |   32276252
    num misses                       |       4583 |       1670 |       1276 |       1527 |        650 |       5980 |       3473 |        766
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.02% |      0.01% |      0.00%
    mpki                             |       0.04 |       0.01 |       0.01 |       0.01 |       0.01 |       0.06 |       0.04 |       0.01
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |       4840 |       1708 |       1314 |       1565 |        688 |       6018 |       3511 |        804
    num misses                       |        553 |        151 |        131 |        130 |        130 |        131 |        130 |        127
    miss rate                        |     11.43% |      8.84% |      9.97% |      8.31% |     18.90% |      2.18% |      3.70% |     15.80%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   10655769 |   10472896 |    5345233 |    5345233 |    5274946 |    5274946 |    5210776 |    5210777
    num cache misses                 |      76319 |      56902 |      56397 |      56382 |      56297 |      56296 |      54098 |      54100
    miss rate                        |      0.72% |      0.54% |      1.06% |      1.05% |      1.07% |      1.07% |      1.04% |      1.04%
    mpki                             |       0.68 |       0.50 |       0.50 |       0.50 |       0.59 |       0.59 |       0.56 |       0.56
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   51709062 |   51448720 |   35393873 |   35410253 |   32328912 |   32315618 |   32221370 |   32276252
    num cache misses                 |     226674 |     181299 |     110185 |     114265 |     137745 |     146998 |     126895 |     119232
    miss rate                        |      0.44% |      0.35% |      0.31% |      0.32% |      0.43% |      0.45% |      0.39% |      0.37%
    mpki                             |       2.02 |       1.60 |       0.98 |       1.01 |       1.44 |       1.54 |       1.32 |       1.23
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |     320456 |     254238 |     175675 |     182263 |     198926 |     208671 |     189845 |     181271
    num cache misses                 |      72717 |      59308 |      40607 |      40494 |      53868 |      57315 |      49337 |      42762
    miss rate                        |     22.69% |     23.33% |     23.11% |     22.22% |     27.08% |     27.47% |     25.99% |     23.59%
    mpki                             |       0.65 |       0.52 |       0.36 |       0.36 |       0.56 |       0.60 |       0.51 |       0.44
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     105048 |      94450 |      68859 |      68494 |      71833 |      72295 |      67922 |      56479
    num cache misses                 |      13460 |       1142 |       1209 |       1121 |        533 |        530 |        601 |        598
    miss rate                        |     12.81% |      1.21% |      1.76% |      1.64% |      0.74% |      0.73% |      0.88% |      1.06%
    mpki                             |       0.12 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      18922 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     113.58 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      52.33 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       6824 |         53 |         46 |         51 |         57 |         59 |         56 |         47
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
