                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |    9695858 |    4394841 |   84090151 |   84064047 |   84315533 |  171984145 |  101710545 |   95638061 |   95234578 |  101343648 |  363662664 |  361614337 |  369337456 |  350677830 |    4566236
  Cycles                             |  245254020 |  245254020 |  323289390 |  323289390 |  323289390 |  245254020 |  323289390 |  245254020 |  245254020 |  323289390 |  323289390 |  245254020 |  245254020 |  323289390 |  323289390
  IPC                                |       0.04 |       0.02 |       0.26 |       0.26 |       0.26 |       0.70 |       0.31 |       0.39 |       0.39 |       0.31 |       1.12 |       1.47 |       1.51 |       1.08 |       0.01
  Time (ns)                          |  111479100 |  111479100 |  111479100 |  111479100 |  111479100 |  111479100 |  111479100 |  111479100 |  111479100 |  111479100 |  111479100 |  111479100 |  111479100 |  111479100 |  111479100
  Idle time (ns)                     |  107759187 |  109137203 |   61864965 |   62254554 |   61727145 |   12966982 |   96125520 |   94251080 |   94131873 |   95926691 |    9363163 |    7335654 |    8782215 |   10992748 |  109920284
  Idle time (%)                      |      96.7% |      97.9% |      55.5% |      55.8% |      55.4% |      11.6% |      86.2% |      84.5% |      84.4% |      86.0% |       8.4% |       6.6% |       7.9% |       9.9% |      98.6%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1279260 |     172931 |    4227096 |    4225021 |    4237837 |    8658492 |     155565 |     146361 |     148990 |     153888 |   43793052 |   42878455 |   44004169 |   42070551 |     466439
  num incorrect                      |       7622 |        726 |        635 |        640 |        627 |       1476 |       2743 |       2653 |       2752 |       2782 |    2086457 |    2000242 |    1899079 |    2130337 |       8505
  misprediction rate                 |      0.59% |      0.42% |      0.02% |      0.02% |      0.01% |      0.02% |      1.73% |      1.78% |      1.81% |      1.78% |      4.55% |      4.46% |      4.14% |      4.82% |      1.79%
  mpki                               |       0.79 |       0.17 |       0.01 |       0.01 |       0.01 |       0.01 |       0.03 |       0.03 |       0.03 |       0.03 |       5.74 |       5.53 |       5.14 |       6.07 |       1.86
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1529836 |     430466 |    6352642 |    6347460 |    6367482 |   13010291 |    5724002 |    5382917 |    5364717 |    5701999 |   41570034 |   41227315 |   41901681 |   40162943 |     619335
    num misses                       |        113 |         35 |         33 |         32 |         34 |         32 |         39 |         38 |         39 |         39 |         40 |         46 |         40 |         40 |         41
    miss rate                        |      0.01% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4836152 |    3838146 |   56692373 |   56682065 |   56849047 |  115948467 |   23790327 |   22370510 |   22296084 |   23698021 |  174854054 |  177172306 |  183278698 |  168158230 |    2499649
    num misses                       |      13736 |       5330 |        617 |        599 |        587 |       1173 |       2265 |       2119 |       2173 |       2237 |      20231 |      19557 |      21221 |      19159 |       3434
    miss rate                        |      0.28% |      0.14% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.14%
    mpki                             |       1.42 |       1.21 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.06 |       0.05 |       0.06 |       0.05 |       0.75
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      13849 |       5365 |        650 |        631 |        621 |       1205 |       2304 |       2157 |       2212 |       2276 |      20271 |      19603 |      21261 |      19199 |       3475
    num misses                       |       5880 |       5324 |        625 |        622 |        617 |       1189 |       1801 |       1719 |       1747 |       1804 |       1840 |       1952 |       2060 |       1784 |       2275
    miss rate                        |     42.46% |     99.24% |     96.15% |     98.57% |     99.36% |     98.67% |     78.17% |     79.69% |     78.98% |     79.26% |      9.08% |      9.96% |      9.69% |      9.29% |     65.47%
    mpki                             |       0.61 |       1.21 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.50
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1529836 |     430466 |    6352642 |    6347460 |    6367482 |   13010291 |    5724002 |    5382917 |    5364717 |    5701999 |   41570034 |   41227315 |   41901681 |   40162943 |     619335
    num cache misses                 |       2001 |        559 |        412 |        409 |        409 |       1065 |       1148 |       2062 |       2187 |       1067 |      17205 |      22190 |      22209 |      19066 |        461
    miss rate                        |      0.13% |      0.13% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.04% |      0.04% |      0.02% |      0.04% |      0.05% |      0.05% |      0.05% |      0.07%
    mpki                             |       0.21 |       0.13 |       0.00 |       0.00 |       0.00 |       0.01 |       0.01 |       0.02 |       0.02 |       0.01 |       0.05 |       0.06 |       0.06 |       0.05 |       0.10
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4836152 |    3838146 |   56692373 |   56682065 |   56849047 |  115948467 |   23790327 |   22370510 |   22296084 |   23698021 |  174854054 |  177172306 |  183278698 |  168158230 |    2499649
    num cache misses                 |     173589 |     334392 |      36399 |      36169 |      36363 |      74986 |      49198 |      46518 |      46526 |      48879 |    2455434 |    3331022 |    3471364 |    2335162 |      21843
    miss rate                        |      3.59% |      8.71% |      0.06% |      0.06% |      0.06% |      0.06% |      0.21% |      0.21% |      0.21% |      0.21% |      1.40% |      1.88% |      1.89% |      1.39% |      0.87%
    mpki                             |      17.90 |      76.09 |       0.43 |       0.43 |       0.43 |       0.44 |       0.48 |       0.49 |       0.49 |       0.48 |       6.75 |       9.21 |       9.40 |       6.66 |       4.78
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     239773 |     372788 |      37163 |      36915 |      37091 |      76948 |      51154 |      49323 |      50344 |      51517 |    2474190 |    3354632 |    3495116 |    2355949 |      25895
    num cache misses                 |     162414 |     333609 |      36434 |      36251 |      36432 |      74995 |      49849 |      47890 |      47923 |      49472 |      95568 |     115480 |     116264 |      92711 |      16527
    miss rate                        |     67.74% |     89.49% |     98.04% |     98.20% |     98.22% |     97.46% |     97.45% |     97.09% |     95.19% |     96.03% |      3.86% |      3.44% |      3.33% |      3.94% |     63.82%
    mpki                             |      16.75 |      75.91 |       0.43 |       0.43 |       0.43 |       0.44 |       0.49 |       0.50 |       0.50 |       0.49 |       0.26 |       0.32 |       0.31 |       0.26 |       3.62
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     226601 |     371447 |      36786 |      36588 |      36751 |      75905 |      50657 |      48633 |      49554 |      51043 |      97220 |     116960 |     117867 |      94534 |      20124
    num cache misses                 |     154657 |     332921 |      35120 |      27217 |      35002 |      12582 |       3962 |       3516 |      45711 |      48042 |      65609 |      74598 |      74258 |      65612 |       6163
    miss rate                        |     68.25% |     89.63% |     95.47% |     74.39% |     95.24% |     16.58% |      7.82% |      7.23% |     92.24% |     94.12% |     67.49% |     63.78% |     63.00% |     69.41% |     30.63%
    mpki                             |      15.95 |      75.75 |       0.42 |       0.32 |       0.42 |       0.07 |       0.04 |       0.04 |       0.48 |       0.47 |       0.18 |       0.21 |       0.20 |       0.19 |       1.35
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     529913 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |     529889 |          0 |          0 |          0 |          0 |          0 |          0
