                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   11292541 |    3200091 |    3501956 |    2923990 |    3188987 |    3492880
  Cycles                             |    9318000 |    9318000 |    9318000 |    9318000 |    9318000 |    9318000
  IPC                                |       1.21 |       0.34 |       0.38 |       0.31 |       0.34 |       0.37
  Time (ns)                          |    2329500 |    2329500 |    2329500 |    2329500 |    2329500 |    2329500
  Idle time (ns)                     |       1432 |    1798230 |    1798361 |    1798546 |    1798618 |    1798673
  Idle time (%)                      |       0.1% |      77.2% |      77.2% |      77.2% |      77.2% |      77.2%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    1383436 |     954880 |    1082534 |     837128 |     950794 |    1079192
  num incorrect                      |      80086 |      11386 |       7068 |      14265 |      11521 |       7178
  misprediction rate                 |      5.47% |      1.18% |      0.65% |      1.68% |      1.20% |      0.66%
  mpki                               |       7.09 |       3.56 |       2.02 |       4.88 |       3.61 |       2.06
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    1297595 |      68084 |      49480 |      96167 |      69871 |      51010
    num misses                       |        171 |         29 |         31 |         46 |         29 |         29
    miss rate                        |      0.01% |      0.04% |      0.06% |      0.05% |      0.04% |      0.06%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.02 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |    2779916 |     681718 |     709816 |     655306 |     678917 |     708895
    num misses                       |       1799 |        165 |        150 |        190 |        189 |        170
    miss rate                        |      0.06% |      0.02% |      0.02% |      0.03% |      0.03% |      0.02%
    mpki                             |       0.16 |       0.05 |       0.04 |       0.06 |       0.06 |       0.05
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |       1970 |        194 |        181 |        236 |        218 |        199
    num misses                       |        596 |        148 |        141 |        174 |        153 |        149
    miss rate                        |     30.25% |     76.29% |     77.90% |     73.73% |     70.18% |     74.87%
    mpki                             |       0.05 |       0.05 |       0.04 |       0.06 |       0.05 |       0.04
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    1297595 |      68084 |      49480 |      96167 |      69871 |      51010
    num cache misses                 |       2654 |        178 |        186 |        362 |        178 |        178
    miss rate                        |      0.20% |      0.26% |      0.38% |      0.38% |      0.25% |      0.35%
    mpki                             |       0.24 |       0.06 |       0.05 |       0.12 |       0.06 |       0.05
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |    2779916 |     681718 |     709816 |     655306 |     678917 |     708895
    num cache misses                 |      40668 |      16998 |      16767 |      17652 |      16968 |      16781
    miss rate                        |      1.46% |      2.49% |      2.36% |      2.69% |      2.50% |      2.37%
    mpki                             |       3.60 |       5.31 |       4.79 |       6.04 |       5.32 |       4.80
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |      45714 |      17375 |      17091 |      18547 |      17696 |      17451
    num cache misses                 |      31982 |      15457 |      15379 |      15948 |      15438 |      15343
    miss rate                        |     69.96% |     88.96% |     89.98% |     85.99% |     87.24% |     87.92%
    mpki                             |       2.83 |       4.83 |       4.39 |       5.45 |       4.84 |       4.39
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      34598 |      15667 |      15527 |      16552 |      15987 |      15838
    num cache misses                 |      25630 |       9139 |       9028 |      10291 |       9763 |       9746
    miss rate                        |     74.08% |     58.33% |     58.14% |     62.17% |     61.07% |     61.54%
    mpki                             |       2.27 |       2.86 |       2.58 |       3.52 |       3.06 |       2.79
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      10625 |          0 |          0 |      10571 |          0 |          0
  average dram access latency (ns)   |      61.46 |        inf |        inf |      61.45 |        inf |        inf
  average dram queueing delay        |       0.20 |       0.00 |       0.00 |       0.20 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |      10420 |        168 |        172 |        164 |        123 |        151
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       2417 |       2364 |       2360 |       3137 |       3004 |       3007
