                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
    miss rate                        |      0.01% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4836309 |    3848682 |   56692400 |   56848899 |   56681258 |  115948384 |   22988617 |   24161147 |   21577837 |   23426732 |  170896701 |  182359431 |  167038602 |  183153349 |    2506641
    num misses                       |      13780 |       5337 |        598 |        588 |        583 |       1161 |       2103 |       2274 |       2137 |       2221 |      17466 |      21851 |      17957 |      21918 |       3457
    miss rate                        |      0.28% |      0.14% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.14%
    mpki                             |       1.42 |       1.21 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.05 |       0.06 |       0.05 |       0.06 |       0.76
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      13894 |       5372 |        631 |        622 |        615 |       1193 |       2142 |       2313 |       2176 |       2260 |      17505 |      21898 |      17997 |      21965 |       3498
    num misses                       |       5843 |       5324 |        626 |        618 |        614 |       1189 |       1742 |       1814 |       1728 |       1779 |       1828 |       2105 |       1678 |       1979 |       2300
    miss rate                        |     42.05% |     99.11% |     99.21% |     99.36% |     99.84% |     99.66% |     81.33% |     78.43% |     79.41% |     78.72% |     10.44% |      9.61% |      9.32% |      9.01% |     65.75%
    mpki                             |       0.60 |       1.21 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.01 |       0.01 |       0.00 |       0.01 |       0.50
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1529813 |     430466 |    6352664 |    6367480 |    6347293 |   13010245 |    5531259 |    5813354 |    5191861 |    5636934 |   40435042 |   42495598 |   39617544 |   42309817 |     620004
    num cache misses                 |       2017 |        463 |        407 |        409 |        644 |       1054 |       1896 |        987 |       1822 |        969 |      24550 |      21402 |      25451 |      20700 |        589
    miss rate                        |      0.13% |      0.11% |      0.01% |      0.01% |      0.01% |      0.01% |      0.03% |      0.02% |      0.04% |      0.02% |      0.06% |      0.05% |      0.06% |      0.05% |      0.09%
    mpki                             |       0.21 |       0.10 |       0.00 |       0.00 |       0.01 |       0.01 |       0.02 |       0.01 |       0.02 |       0.01 |       0.07 |       0.06 |       0.07 |       0.06 |       0.13
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4836309 |    3848682 |   56692400 |   56848899 |   56681258 |  115948384 |   22988617 |   24161147 |   21577837 |   23426732 |  170896701 |  182359431 |  167038602 |  183153349 |    2506641
    num cache misses                 |     173572 |     334380 |      36422 |      36295 |      36405 |      74997 |      47506 |      49828 |      45124 |      48405 |    3209528 |    2616723 |    3015355 |    2660699 |      26473
    miss rate                        |      3.59% |      8.69% |      0.06% |      0.06% |      0.06% |      0.06% |      0.21% |      0.21% |      0.21% |      0.21% |      1.88% |      1.43% |      1.81% |      1.45% |      1.06%
    mpki                             |      17.90 |      75.81 |       0.43 |       0.43 |       0.43 |       0.44 |       0.48 |       0.48 |       0.49 |       0.48 |       9.06 |       6.99 |       8.73 |       7.16 |       5.78
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     240970 |     377948 |      37185 |      37024 |      37380 |      77002 |      50150 |      52462 |      48528 |      50940 |    3235783 |    2640361 |    3042520 |    2683203 |      35348
    num cache misses                 |     162440 |     333505 |      36467 |      36379 |      36589 |      75010 |      48974 |      50462 |      46453 |      49012 |     108504 |     107940 |      99789 |     102610 |      18090
    miss rate                        |     67.41% |     88.24% |     98.07% |     98.26% |     97.88% |     97.41% |     97.66% |     96.19% |     95.72% |     96.22% |      3.35% |      4.09% |      3.28% |      3.82% |     51.18%
    mpki                             |      16.75 |      75.62 |       0.43 |       0.43 |       0.44 |       0.44 |       0.50 |       0.49 |       0.50 |       0.49 |       0.31 |       0.29 |       0.29 |       0.28 |       3.95
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     227825 |     376611 |      36823 |      36699 |      36920 |      75974 |      49722 |      52109 |      48036 |      50578 |     110261 |     110329 |     101530 |     104459 |      26376
    num cache misses                 |     156554 |     332929 |      35163 |      34989 |      29691 |      10631 |       3748 |      49272 |      43790 |      47409 |      59601 |      64656 |      58166 |      63060 |      16755
    miss rate                        |     68.72% |     88.40% |     95.49% |     95.34% |     80.42% |     13.99% |      7.54% |     94.56% |     91.16% |     93.73% |     54.05% |     58.60% |     57.29% |     60.37% |     63.52%
    mpki                             |      16.15 |      75.48 |       0.42 |       0.41 |       0.35 |       0.06 |       0.04 |       0.48 |       0.48 |       0.47 |       0.17 |       0.17 |       0.17 |       0.17 |       3.66
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     354798 |          0 |          0 |          0 |          0 |          0 |          0 |     354721 |          0 |          0 |          0 |          0 |          0 |          0 |     354659
  average dram access latency (ns)   |      61.29 |        inf |        inf |        inf |        inf |        inf |        inf |      61.31 |        inf |        inf |        inf |        inf |        inf |        inf |      61.30
  average dram queueing delay        |       0.04 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.05 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.05
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      75841 |     208939 |      33080 |      33069 |      27900 |       6301 |       1714 |       1531 |       1474 |       1527 |        511 |       1120 |        531 |        801 |       3285
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       3958 |          1 |        482 |        432 |        439 |       1458 |        407 |      44870 |      39953 |      43426 |      12181 |      10105 |      14189 |      11439 |       8990
