                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   44718077 |    5987150 |    6042772 |    4989872 |    5328249 |    5806090 |    6109247 |    5969335
  Cycles                             |   33074400 |   33074400 |   33074400 |   33074400 |   33074400 |   33074400 |   33074400 |   33074400
  IPC                                |       1.35 |       0.18 |       0.18 |       0.15 |       0.16 |       0.18 |       0.18 |       0.18
  Time (ns)                          |    8268600 |    8268600 |    8268600 |    8268600 |    8268600 |    8268600 |    8268600 |    8268600
  Idle time (ns)                     |      10058 |    7008315 |    6991150 |    6968090 |    6967102 |    7061262 |    6970823 |    7014378
  Idle time (%)                      |       0.1% |      84.8% |      84.6% |      84.3% |      84.3% |      85.4% |      84.3% |      84.8%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    4946484 |    1711584 |    1715376 |    1230152 |    1381366 |    1686140 |    1727382 |    1707739
  num incorrect                      |     346869 |      26100 |      27751 |      45594 |      41126 |      20163 |      29958 |      25264
  misprediction rate                 |      6.55% |      1.50% |      1.59% |      3.57% |      2.89% |      1.18% |      1.70% |      1.46%
  mpki                               |       7.76 |       4.36 |       4.59 |       9.14 |       7.72 |       3.47 |       4.90 |       4.23
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    5208397 |     175004 |     182032 |     293470 |     254744 |     151702 |     194259 |     174437
    num misses                       |        178 |         29 |         46 |         48 |         48 |         29 |         46 |         46
    miss rate                        |      0.00% |      0.02% |      0.03% |      0.02% |      0.02% |      0.02% |      0.02% |      0.03%
    mpki                             |       0.00 |       0.00 |       0.01 |       0.01 |       0.01 |       0.00 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   10265603 |    1399728 |    1417788 |    1339768 |    1367880 |    1340992 |    1442889 |    1392236
    num misses                       |      11254 |       9157 |       9173 |       9178 |       9277 |       9208 |       9159 |       9175
    miss rate                        |      0.11% |      0.65% |      0.65% |      0.69% |      0.68% |      0.69% |      0.63% |      0.66%
    mpki                             |       0.25 |       1.53 |       1.52 |       1.84 |       1.74 |       1.59 |       1.50 |       1.54
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |      11432 |       9186 |       9219 |       9226 |       9325 |       9237 |       9205 |       9221
    num misses                       |        927 |        328 |        369 |        369 |        350 |        314 |        342 |        336
    miss rate                        |      8.11% |      3.57% |      4.00% |      4.00% |      3.75% |      3.40% |      3.72% |      3.64%
    mpki                             |       0.02 |       0.05 |       0.06 |       0.07 |       0.07 |       0.05 |       0.06 |       0.06
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    5208397 |     175004 |     182032 |     293470 |     254744 |     151702 |     194259 |     174437
    num cache misses                 |       2989 |        178 |        359 |        424 |        431 |        179 |        361 |        360
    miss rate                        |      0.06% |      0.10% |      0.20% |      0.14% |      0.17% |      0.12% |      0.19% |      0.21%
    mpki                             |       0.07 |       0.03 |       0.06 |       0.08 |       0.08 |       0.03 |       0.06 |       0.06
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   10265603 |    1399728 |    1417788 |    1339768 |    1367880 |    1340992 |    1442889 |    1392236
    num cache misses                 |      85701 |      52337 |      52598 |      55785 |      53913 |      51899 |      52925 |      52405
    miss rate                        |      0.83% |      3.74% |      3.71% |      4.16% |      3.94% |      3.87% |      3.67% |      3.76%
    mpki                             |       1.92 |       8.74 |       8.70 |      11.18 |      10.12 |       8.94 |       8.66 |       8.78
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      91439 |      52988 |      53416 |      56750 |      56057 |      53514 |      54859 |      54278
    num cache misses                 |      71390 |      46855 |      47198 |      48103 |      47874 |      46599 |      47463 |      47195
    miss rate                        |     78.07% |     88.43% |     88.36% |     84.76% |     85.40% |     87.08% |     86.52% |     86.95%
    mpki                             |       1.60 |       7.83 |       7.81 |       9.64 |       8.98 |       8.03 |       7.77 |       7.91
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      74568 |      47362 |      47696 |      48854 |      49643 |      48063 |      49064 |      48719
    num cache misses                 |      50796 |      26394 |      26802 |      27696 |      29033 |      28020 |      28529 |      28342
    miss rate                        |     68.12% |     55.73% |     56.19% |     56.69% |     58.48% |     58.30% |     58.15% |     58.17%
    mpki                             |       1.14 |       4.41 |       4.44 |       5.55 |       5.45 |       4.83 |       4.67 |       4.75
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      20353 |          0 |          0 |          0 |      20263 |          0 |          0 |          0
  average dram access latency (ns)   |      61.57 |        inf |        inf |        inf |      61.57 |        inf |        inf |        inf
  average dram queueing delay        |       0.32 |       0.00 |       0.00 |       0.00 |       0.31 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |      10769 |        537 |        588 |        664 |        459 |        405 |        409 |        418
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       7833 |       7395 |       7381 |       7686 |       9151 |       8704 |       8856 |       8790
