                                     | Core 0     | Core 1    
  Instructions                       |   48689424 |   10923146
  Cycles                             |   36780500 |   36780500
  IPC                                |       1.32 |       0.30
  Time (ns)                          |   36780500 |   36780500
  Idle time (ns)                     |       1295 |   25513561
  Idle time (%)                      |       0.0% |      69.4%
Branch predictor stats               |            |           
  num correct                        |    5271346 |    2418071
  num incorrect                      |     445526 |     115041
  misprediction rate                 |      7.79% |      4.54%
  mpki                               |       9.15 |      10.53
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    5846636 |     769706
    num misses                       |        178 |         50
    miss rate                        |      0.00% |      0.01%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |   12234112 |    3487641
    num misses                       |      37950 |      35760
    miss rate                        |      0.31% |      1.03%
    mpki                             |       0.78 |       3.27
  L2 TLB                             |            |           
    num accesses                     |      38128 |      35810
    num misses                       |       1016 |        531
    miss rate                        |      2.66% |      1.48%
    mpki                             |       0.02 |       0.05
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    5846636 |     769706
    num cache misses                 |       4275 |        824
    miss rate                        |      0.07% |      0.11%
    mpki                             |       0.09 |       0.08
  Cache L1-D                         |            |           
    num cache accesses               |   12234112 |    3487641
    num cache misses                 |     198292 |     163539
    miss rate                        |      1.62% |      4.69%
    mpki                             |       4.07 |      14.97
  Cache L2                           |            |           
    num cache accesses               |     204541 |     164369
    num cache misses                 |     155949 |     126847
    miss rate                        |     76.24% |     77.17%
    mpki                             |       3.20 |      11.61
  Cache L3                           |            |           
    num cache accesses               |     157971 |     126853
    num cache misses                 |      30841 |       8212
    miss rate                        |     19.52% |      6.47%
    mpki                             |       0.63 |       0.75
DRAM summary                         |            |           
  num dram accesses                  |      39032 |          0
  average dram access latency (ns)   |      61.31 |        inf
  average dram queueing delay        |       0.06 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      16502 |       6827
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
