                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    num cache misses                 |   36555876 |    2078353 |    2089740 |    2093482 |    2091739 |    2094840 |    2094363 |    2091166 |    2088874 |    2093653 |    2094942 |    2095551 |    2095477 |    2095764 |    2095518 |    2092084
    miss rate                        |     86.22% |     43.24% |     43.48% |     43.56% |     43.51% |     43.58% |     43.57% |     43.50% |     43.47% |     43.57% |     43.60% |     43.61% |     43.60% |     43.61% |     43.60% |     46.43%
    mpki                             |      75.29 |      46.65 |      32.95 |      25.44 |      20.67 |      17.45 |      15.07 |      13.25 |      11.82 |      10.71 |       9.77 |       8.98 |       8.31 |       7.73 |       7.23 |       6.81
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   38096133 |    3718648 |    3759692 |    3783598 |    3772270 |    3794433 |    3794032 |    3774086 |    3776245 |    3785515 |    3789813 |    3796874 |    3795627 |    3799994 |    3795030 |    3765173
    num cache misses                 |   36144055 |    2045450 |    2063541 |    2073927 |    2043463 |    2052759 |    2053803 |    2042083 |    2064180 |    2075119 |    2078064 |    2079749 |    2054133 |    2057412 |    2054577 |    2038536
    miss rate                        |     94.88% |     55.01% |     54.89% |     54.81% |     54.17% |     54.10% |     54.13% |     54.11% |     54.66% |     54.82% |     54.83% |     54.78% |     54.12% |     54.14% |     54.14% |     54.14%
    mpki                             |      74.44 |      45.91 |      32.53 |      25.20 |      20.20 |      17.10 |      14.78 |      12.94 |      11.68 |      10.61 |       9.69 |       8.91 |       8.15 |       7.59 |       7.09 |       6.64
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   37682416 |    3685638 |    3733373 |    3763902 |    3723832 |    3752169 |    3753268 |    3724780 |    3751457 |    3766877 |    3772817 |    3780931 |    3754126 |    3761465 |    3753887 |    3711403
    num cache misses                 |   29384671 |    1640123 |    1669751 |    1689894 |    1679789 |    1698951 |    1699121 |    1682629 |    1687311 |    1691729 |    1694710 |    1701138 |    1699467 |    1703678 |    1699073 |    1672842
    miss rate                        |     77.98% |     44.50% |     44.72% |     44.90% |     45.11% |     45.28% |     45.27% |     45.17% |     44.98% |     44.91% |     44.92% |     44.99% |     45.27% |     45.29% |     45.26% |     45.07%
    mpki                             |      60.52 |      36.81 |      26.33 |      20.53 |      16.60 |      14.15 |      12.23 |      10.66 |       9.55 |       8.65 |       7.90 |       7.29 |       6.74 |       6.29 |       5.86 |       5.45
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |   40705149 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |   40532936 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      62.19 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |      62.16 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.94 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.91 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     17.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |     17.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |   28135913 |    1640076 |    1669694 |    1689828 |    1679706 |    1698847 |    1699013 |    1533917 |    1450926 |    1611482 |    1681923 |    1699157 |    1699053 |    1703514 |    1698924 |    1672654
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |     196568 |          8 |         12 |          6 |         10 |          8 |          5 |     148590 |     236328 |      80198 |      12721 |       1919 |        329 |         65 |         30 |         31
