                                     | Core 0      | Core 1     
  Instructions                       |  2258340606 |  2263119552
  Cycles                             |  3445383600 |  3445383600
  IPC                                |        0.66 |        0.66
  Time (ns)                          |   861345900 |   861345900
  Idle time (ns)                     |        1243 |     3255798
  Idle time (%)                      |        0.0% |        0.4%
Branch predictor stats               |             |            
  num correct                        |   171084830 |   172742781
  num incorrect                      |       10345 |        6566
  misprediction rate                 |       0.01% |       0.00%
  mpki                               |        0.00 |        0.00
TLB Summary                          |             |            
  I-TLB                              |             |            
    num accesses                     |   329270629 |   329302218
    num misses                       |         117 |          24
    miss rate                        |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00
  D-TLB                              |             |            
    num accesses                     |   838509920 |   839202657
    num misses                       |    41400940 |    41203699
    miss rate                        |       4.94% |       4.91%
    mpki                             |       18.33 |       18.21
  L2 TLB                             |             |            
    num accesses                     |    41401057 |    41203723
    num misses                       |    18809176 |    18756315
    miss rate                        |      45.43% |      45.52%
    mpki                             |        8.33 |        8.29
Cache Summary                        |             |            
  Cache L1-I                         |             |            
    num cache accesses               |   329270629 |   329302218
    num cache misses                 |       13751 |        9703
    miss rate                        |       0.00% |       0.00%
    mpki                             |        0.01 |        0.00
  Cache L1-D                         |             |            
    num cache accesses               |   838509920 |   839202657
    num cache misses                 |    45552235 |    45500131
    miss rate                        |       5.43% |       5.42%
    mpki                             |       20.17 |       20.11
  Cache L2                           |             |            
    num cache accesses               |    45785057 |    45735770
    num cache misses                 |    13371363 |    13350389
    miss rate                        |      29.20% |      29.19%
    mpki                             |        5.92 |        5.90
  Cache L3                           |             |            
    num cache accesses               |    13590443 |    13576325
    num cache misses                 |    13073166 |    13063123
    miss rate                        |      96.19% |      96.22%
    mpki                             |        5.79 |        5.77
DRAM summary                         |             |            
  num dram accesses                  |    33927351 |           0
  average dram access latency (ns)   |     8341.46 |         inf
  average dram queueing delay        |     8280.21 |        0.00
  average dram bandwidth utilization |       4.00% |       0.00%
Coherency Traffic                    |             |            
  num loads from dram                |     9211917 |     9202112
  num loads from dram cache          |           0 |           0
  num loads from remote cache        |           0 |           0
