                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   24543073 |    6479739 |    6559227 |    6827093 |    6432205 |    6514105 |    5719594 |    6003155
  Cycles                             |   65266800 |   65266800 |   65266800 |   65266800 |   16316700 |   16316700 |   16316700 |   16316700
  IPC                                |       0.38 |       0.10 |       0.10 |       0.10 |       0.39 |       0.40 |       0.35 |       0.37
  Time (ns)                          |   16316700 |   16316700 |   16316700 |   16316700 |   16316700 |   16316700 |   16316700 |   16316700
  Idle time (ns)                     |       2212 |   12742945 |   12744278 |   12747068 |   12683326 |   12683624 |   12684824 |   12684555
  Idle time (%)                      |       0.0% |      78.1% |      78.1% |      78.1% |      77.7% |      77.7% |      77.7% |      77.7%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    2900577 |    1951317 |    1987071 |    2109572 |    1943643 |    1982358 |    1620559 |    1745993
  num incorrect                      |     169936 |      15940 |      14820 |      11035 |      14868 |      13418 |      25397 |      21085
  misprediction rate                 |      5.53% |      0.81% |      0.74% |      0.52% |      0.76% |      0.67% |      1.54% |      1.19%
  mpki                               |       6.92 |       2.46 |       2.26 |       1.62 |       2.31 |       2.06 |       4.44 |       3.51
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    3170416 |      92684 |      87094 |      71023 |      87594 |      82169 |     124940 |     111898
    num misses                       |        171 |         26 |         24 |         24 |         23 |         23 |         23 |         23
    miss rate                        |      0.01% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.02% |      0.02%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    5703316 |    1307345 |    1313667 |    1340139 |    1292927 |    1299301 |    1221887 |    1252597
    num misses                       |       5592 |       3955 |       4019 |       3999 |       4083 |       4021 |       3983 |       3913
    miss rate                        |      0.10% |      0.30% |      0.31% |      0.30% |      0.32% |      0.31% |      0.33% |      0.31%
    mpki                             |       0.23 |       0.61 |       0.61 |       0.59 |       0.63 |       0.62 |       0.70 |       0.65
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |       5763 |       3981 |       4043 |       4023 |       4106 |       4044 |       4006 |       3936
    num misses                       |        829 |        288 |        301 |        296 |        269 |        267 |        272 |        270
    miss rate                        |     14.38% |      7.23% |      7.44% |      7.36% |      6.55% |      6.60% |      6.79% |      6.86%
    mpki                             |       0.03 |       0.04 |       0.05 |       0.04 |       0.04 |       0.04 |       0.05 |       0.04
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    3170416 |      92684 |      87094 |      71023 |      87594 |      82169 |     124940 |     111898
    num cache misses                 |       3085 |        163 |        155 |        157 |        182 |        186 |        193 |        196
    miss rate                        |      0.10% |      0.18% |      0.18% |      0.22% |      0.21% |      0.23% |      0.15% |      0.18%
    mpki                             |       0.13 |       0.03 |       0.02 |       0.02 |       0.03 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    5703316 |    1307345 |    1313667 |    1340139 |    1292927 |    1299301 |    1221887 |    1252597
    num cache misses                 |      63492 |      28501 |      28356 |      27977 |      28229 |      28221 |      29898 |      28888
    miss rate                        |      1.11% |      2.18% |      2.16% |      2.09% |      2.18% |      2.17% |      2.45% |      2.31%
    mpki                             |       2.59 |       4.40 |       4.32 |       4.10 |       4.39 |       4.33 |       5.23 |       4.81
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      68726 |      28666 |      28514 |      28136 |      28412 |      28407 |      30092 |      29086
    num cache misses                 |      48027 |      25735 |      25604 |      25323 |      25554 |      25593 |      26079 |      26042
    miss rate                        |     69.88% |     89.78% |     89.79% |     90.00% |     89.94% |     90.09% |     86.66% |     89.53%
    mpki                             |       1.96 |       3.97 |       3.90 |       3.71 |       3.97 |       3.93 |       4.56 |       4.34
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      54070 |      25745 |      25611 |      25343 |      25572 |      25609 |      26100 |      26062
    num cache misses                 |      22773 |       2063 |       1967 |       1877 |       1940 |       1871 |       1954 |       2038
    miss rate                        |     42.12% |      8.01% |      7.68% |      7.41% |      7.59% |      7.31% |      7.49% |      7.82%
    mpki                             |       0.93 |       0.32 |       0.30 |       0.27 |       0.30 |       0.29 |       0.34 |       0.34
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      36363 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      61.49 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.24 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |      11230 |       1101 |       1042 |       1038 |       1018 |       1000 |       1009 |       1013
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
