                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |    9696142 |    4394866 |   84090256 |   84062987 |   84314359 |  171982810 |  103112767 |   96871450 |   97815984 |   96128256 |  368917502 |  350214033 |  355039958 |  371113402 |    4551334
  Cycles                             |  244724480 |  244724480 |  322591360 |  244724480 |  322591360 |  322591360 |  322591360 |  244724480 |  244724480 |  322591360 |  322591360 |  244724480 |  244724480 |  322591360 |  322591360
  IPC                                |       0.04 |       0.02 |       0.26 |       0.34 |       0.26 |       0.53 |       0.32 |       0.40 |       0.40 |       0.30 |       1.14 |       1.43 |       1.45 |       1.15 |       0.01
  Time (ns)                          |  111238400 |  111238400 |  111238400 |  111238400 |  111238400 |  111238400 |  111238400 |  111238400 |  111238400 |  111238400 |  111238400 |  111238400 |  111238400 |  111238400 |  111238400
  Idle time (ns)                     |  107518233 |  108892384 |   61624931 |   61835392 |   61485952 |   12769181 |   95634323 |   93863191 |   93442260 |   96479202 |    9161342 |    9106299 |    8647074 |    8802670 |  109677750
  Idle time (%)                      |      96.7% |      97.9% |      55.4% |      55.6% |      55.3% |      11.5% |      86.0% |      84.4% |      84.0% |      86.7% |       8.2% |       8.2% |       7.8% |       7.9% |      98.6%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1279263 |     172929 |    4227094 |    4224766 |    4237547 |    8658341 |     157951 |     151158 |     146719 |     149494 |   44291014 |   41679003 |   42430051 |   44343040 |     465756
  num incorrect                      |       7671 |        729 |        642 |        627 |        625 |       1436 |       2723 |       2809 |       2528 |       2810 |    2039661 |    1997407 |    2027126 |    2053130 |       8336
  misprediction rate                 |      0.60% |      0.42% |      0.02% |      0.01% |      0.01% |      0.02% |      1.69% |      1.82% |      1.69% |      1.84% |      4.40% |      4.57% |      4.56% |      4.43% |      1.76%
  mpki                               |       0.79 |       0.17 |       0.01 |       0.01 |       0.01 |       0.01 |       0.03 |       0.03 |       0.03 |       0.03 |       5.53 |       5.70 |       5.71 |       5.53 |       1.83
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1529873 |     430469 |    6352671 |    6347430 |    6367479 |   13010101 |    5803645 |    5456376 |    5500443 |    5413111 |   42030569 |   40112434 |   40437613 |   42280531 |     617589
    num misses                       |        113 |         36 |         35 |         32 |         32 |         28 |         41 |         41 |         39 |         39 |         47 |         46 |         40 |         40 |         41
    miss rate                        |      0.01% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4836272 |    3838162 |   56692420 |   56681745 |   56848747 |  115947938 |   24120351 |   22676246 |   22860513 |   22498235 |  179216092 |  169707092 |  173068049 |  181468612 |    2491255
    num misses                       |      14564 |       5341 |        601 |        592 |        586 |       1153 |       2241 |       2185 |       2095 |       2177 |      19499 |      21240 |      18707 |      24657 |       6148
    miss rate                        |      0.30% |      0.14% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.25%
    mpki                             |       1.50 |       1.22 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.05 |       0.06 |       0.05 |       0.07 |       1.35
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      14677 |       5377 |        636 |        624 |        618 |       1181 |       2282 |       2226 |       2134 |       2216 |      19546 |      21286 |      18747 |      24697 |       6189
    num misses                       |       6317 |       5325 |        627 |        621 |        615 |       1168 |       1820 |       1772 |       1722 |       1737 |       1903 |       1928 |       1837 |       2051 |       2323
    miss rate                        |     43.04% |     99.03% |     98.58% |     99.52% |     99.51% |     98.90% |     79.75% |     79.60% |     80.69% |     78.38% |      9.74% |      9.06% |      9.80% |      8.30% |     37.53%
    mpki                             |       0.65 |       1.21 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.51
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
