                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11    
  Instructions                       |  1969761931 |  1972578237 |  1970621493 |  1971517874 |  1684417823 |  1686725011 |  1699411535 |  1706091129 |  1985994862 |  1996532235 |  1969424576 |  1974147157
  Cycles                             |   876360280 |   876360280 |   876360280 |   876360280 |   664825040 |   664825040 |   664825040 |   664825040 |   876360280 |   876360280 |   876360280 |   876360280
  IPC                                |        2.25 |        2.25 |        2.25 |        2.25 |        2.53 |        2.54 |        2.56 |        2.57 |        2.27 |        2.28 |        2.25 |        2.25
  Time (ns)                          |   302193200 |   302193200 |   302193200 |   302193200 |   302193200 |   302193200 |   302193200 |   302193200 |   302193200 |   302193200 |   302193200 |   302193200
  Idle time (ns)                     |         324 |      291969 |      293958 |      295721 |      297483 |      299220 |      300921 |      302656 |      304355 |      306061 |      307797 |      309572
  Idle time (%)                      |        0.0% |        0.1% |        0.1% |        0.1% |        0.1% |        0.1% |        0.1% |        0.1% |        0.1% |        0.1% |        0.1% |        0.1%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |   103657273 |   105193845 |   104542041 |   104840834 |     9140224 |     9908118 |    17792861 |    20018411 |   113319500 |   116832924 |   378397421 |   379971609
  num incorrect                      |       42261 |       32236 |       32025 |       32026 |       31776 |       32129 |       27581 |       27786 |       27484 |       27789 |       18477 |       18479
  misprediction rate                 |       0.04% |       0.03% |       0.03% |       0.03% |       0.35% |       0.32% |       0.15% |       0.14% |       0.02% |       0.02% |       0.00% |       0.00%
  mpki                               |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.01 |        0.01 |        0.01 |        0.01
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   158347999 |   157995406 |   157995215 |   157995215 |   157995215 |   157995215 |   157003193 |   157003046 |   157003241 |   157003193 |    79675971 |    79675972
    num misses                       |         271 |          38 |          38 |          38 |          38 |          38 |          38 |          38 |          38 |          38 |          38 |          38
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   822043936 |   821421284 |   821094743 |   821244140 |   773395544 |   773781403 |   772455863 |   773570461 |   820221798 |   821975973 |   576467877 |   577254978
    num misses                       |      907227 |      959789 |      941092 |      954455 |      918472 |      955666 |      908461 |      931064 |      948800 |      922058 |      489654 |      468086
    miss rate                        |       0.11% |       0.12% |       0.11% |       0.12% |       0.12% |       0.12% |       0.12% |       0.12% |       0.12% |       0.11% |       0.08% |       0.08%
    mpki                             |        0.46 |        0.49 |        0.48 |        0.48 |        0.55 |        0.57 |        0.53 |        0.55 |        0.48 |        0.46 |        0.25 |        0.24
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |      907498 |      959827 |      941130 |      954493 |      918510 |      955704 |      908499 |      931102 |      948838 |      922096 |      489692 |      468124
    num misses                       |       21618 |       24331 |       28242 |       26826 |       23410 |       20107 |       27018 |       18857 |       21183 |       23291 |       18660 |       20569
    miss rate                        |       2.38% |       2.53% |       3.00% |       2.81% |       2.55% |       2.10% |       2.97% |       2.03% |       2.23% |       2.53% |       3.81% |       4.39%
    mpki                             |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.02 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |   158347999 |   157995406 |   157995215 |   157995215 |   157995215 |   157995215 |   157003193 |   157003046 |   157003241 |   157003193 |    79675971 |    79675972
    num cache misses                 |      248075 |      188566 |      188564 |      188564 |      192966 |      194767 |      190177 |      190768 |      189013 |      188565 |      187361 |      187363
    miss rate                        |       0.16% |       0.12% |       0.12% |       0.12% |       0.12% |       0.12% |       0.12% |       0.12% |       0.12% |       0.12% |       0.24% |       0.24%
    mpki                             |        0.13 |        0.10 |        0.10 |        0.10 |        0.11 |        0.12 |        0.11 |        0.11 |        0.10 |        0.09 |        0.10 |        0.09
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |   822043936 |   821421284 |   821094743 |   821244140 |   773395544 |   773781403 |   772455863 |   773570461 |   820221798 |   821975973 |   576467877 |   577254978
    num cache misses                 |     5494660 |     5442793 |     5345615 |     5387120 |     8866607 |     8928953 |     8525376 |     8570913 |     4977728 |     4978677 |     2995714 |     2949587
    miss rate                        |       0.67% |       0.66% |       0.65% |       0.66% |       1.15% |       1.15% |       1.10% |       1.11% |       0.61% |       0.61% |       0.52% |       0.51%
    mpki                             |        2.79 |        2.76 |        2.71 |        2.73 |        5.26 |        5.29 |        5.02 |        5.02 |        2.51 |        2.49 |        1.52 |        1.49
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |     6027767 |     5962494 |     5853224 |     5897740 |     9374965 |     9443796 |     9034606 |     9085483 |     5410633 |     5614153 |     3367288 |     3321152
    num cache misses                 |     1059530 |     1079016 |     1109193 |     1106390 |     1357533 |     1339709 |     1165086 |      970724 |     1008267 |      963757 |      802682 |      724483
    miss rate                        |      17.58% |      18.10% |      18.95% |      18.76% |      14.48% |      14.19% |      12.90% |      10.68% |      18.63% |      17.17% |      23.84% |      21.81%
    mpki                             |        0.54 |        0.55 |        0.56 |        0.56 |        0.81 |        0.79 |        0.69 |        0.57 |        0.51 |        0.48 |        0.41 |        0.37
  Cache L3                           |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |     1535166 |     1666166 |     1671113 |     1670919 |     1886213 |     1880137 |     1698838 |     1520401 |     1493226 |     1672440 |     1232584 |     1095106
    num cache misses                 |      205657 |      133001 |      132466 |      132605 |      130832 |      132045 |      131673 |      515683 |      528981 |      342054 |      225006 |      277354
    miss rate                        |      13.40% |       7.98% |       7.93% |       7.94% |       6.94% |       7.02% |       7.75% |      33.92% |      35.43% |      20.45% |      18.25% |      25.33%
    mpki                             |        0.10 |        0.07 |        0.07 |        0.07 |        0.08 |        0.08 |        0.08 |        0.30 |        0.27 |        0.17 |        0.11 |        0.14
DRAM summary                         |             |             |             |             |             |             |             |             |             |             |             |            
  num dram accesses                  |       27774 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |       27741 |           0 |           0 |           0
  average dram access latency (ns)   |      664.62 |         inf |         inf |         inf |         inf |         inf |         inf |         inf |      664.69 |         inf |         inf |         inf
  average dram queueing delay        |      603.37 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |      603.44 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |             |             |             |             |            
  num loads from dram                |        6839 |         232 |         214 |         215 |         214 |         214 |         214 |         215 |           5 |         213 |         224 |          20
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |      163243 |      128721 |      128325 |      128345 |      127057 |      128329 |      127810 |      511549 |      465986 |      336946 |      220220 |      224821
