                                     | Core 0     | Core 1    
  Instructions                       |   17336949 |   17726673
  Cycles                             |   10155200 |   10155200
  IPC                                |       1.71 |       1.75
  Time (ns)                          |    2538800 |    2538800
  Idle time (ns)                     |        344 |     232648
  Idle time (%)                      |       0.0% |       9.2%
Branch predictor stats               |            |           
  num correct                        |     986726 |    1321817
  num incorrect                      |       9786 |       4569
  misprediction rate                 |      0.98% |      0.34%
  mpki                               |       0.56 |       0.26
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    1963847 |    1827133
    num misses                       |        222 |         29
    miss rate                        |      0.01% |      0.00%
    mpki                             |       0.01 |       0.00
  D-TLB                              |            |           
    num accesses                     |    9223711 |    8975425
    num misses                       |       4302 |       2686
    miss rate                        |      0.05% |      0.03%
    mpki                             |       0.25 |       0.15
  L2 TLB                             |            |           
    num accesses                     |       4524 |       2715
    num misses                       |        844 |        326
    miss rate                        |     18.66% |     12.01%
    mpki                             |       0.05 |       0.02
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    1963847 |    1827133
    num cache misses                 |       9279 |       2061
    miss rate                        |      0.47% |      0.11%
    mpki                             |       0.54 |       0.12
  Cache L1-D                         |            |           
    num cache accesses               |    9223711 |    8975425
    num cache misses                 |     312276 |     292625
    miss rate                        |      3.39% |      3.26%
    mpki                             |      18.01 |      16.51
  Cache L2                           |            |           
    num cache accesses               |     328134 |     297018
    num cache misses                 |      57753 |      38638
    miss rate                        |     17.60% |     13.01%
    mpki                             |       3.33 |       2.18
  Cache L3                           |            |           
    num cache accesses               |      67079 |      44345
    num cache misses                 |      27580 |      19898
    miss rate                        |     41.12% |     44.87%
    mpki                             |       1.59 |       1.12
DRAM summary                         |            |           
  num dram accesses                  |      13685 |      13668
  average dram access latency (ns)   |     118.57 |     118.51
  average dram queueing delay        |      57.32 |      57.26
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       6975 |         96
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |       6698 |       9747
