                                     | Core 0     | Core 1    
  Instructions                       |   17544529 |   17530813
  Cycles                             |   10350120 |   10350120
  IPC                                |       1.70 |       1.69
  Time (ns)                          |    4704600 |    4704600
  Idle time (ns)                     |        302 |     451960
  Idle time (%)                      |       0.0% |       9.6%
Branch predictor stats               |            |           
  num correct                        |    1027732 |    1205414
  num incorrect                      |      26450 |       9980
  misprediction rate                 |      2.51% |      0.82%
  mpki                               |       1.51 |       0.57
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    1956208 |    1810703
    num misses                       |        289 |         30
    miss rate                        |      0.01% |      0.00%
    mpki                             |       0.02 |       0.00
  D-TLB                              |            |           
    num accesses                     |    9306119 |    8918081
    num misses                       |       4371 |       2707
    miss rate                        |      0.05% |      0.03%
    mpki                             |       0.25 |       0.15
  L2 TLB                             |            |           
    num accesses                     |       4660 |       2737
    num misses                       |        888 |        321
    miss rate                        |     19.06% |     11.73%
    mpki                             |       0.05 |       0.02
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    1956208 |    1810703
    num cache misses                 |       9191 |       2018
    miss rate                        |      0.47% |      0.11%
    mpki                             |       0.52 |       0.12
  Cache L1-D                         |            |           
    num cache accesses               |    9306119 |    8918081
    num cache misses                 |     293218 |     278940
    miss rate                        |      3.15% |      3.13%
    mpki                             |      16.71 |      15.91
  Cache L2                           |            |           
    num cache accesses               |     306721 |     282472
    num cache misses                 |      53272 |      36811
    miss rate                        |     17.37% |     13.03%
    mpki                             |       3.04 |       2.10
  Cache L3                           |            |           
    num cache accesses               |      60299 |      41443
    num cache misses                 |      17763 |       8585
    miss rate                        |     29.46% |     20.72%
    mpki                             |       1.01 |       0.49
DRAM summary                         |            |           
  num dram accesses                  |      26334 |          0
  average dram access latency (ns)   |      62.12 |        inf
  average dram queueing delay        |       0.87 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       5643 |        279
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
