                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  245440377 |  261151541 |  262861968 |  261528794 |  259866482 |  263080290 |  260559235 |  262908526
  Cycles                             |  305245600 |  305245600 |  305245600 |  305245600 |  305245600 |  305245600 |  305245600 |  305245600
  IPC                                |       0.80 |       0.86 |       0.86 |       0.86 |       0.85 |       0.86 |       0.85 |       0.86
  Time (ns)                          |   76311400 |   76311400 |   76311400 |   76311400 |   76311400 |   76311400 |   76311400 |   76311400
  Idle time (ns)                     |       2475 |     733607 |     703832 |     756532 |    1385485 |     729768 |     661962 |     629913
  Idle time (%)                      |       0.0% |       1.0% |       0.9% |       1.0% |       1.8% |       1.0% |       0.9% |       0.8%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   15073046 |   21098727 |   21715436 |   21272885 |   20727987 |   21802472 |   20963062 |   21746267
  num incorrect                      |      12590 |       5992 |       6060 |       6032 |       5892 |       5839 |       5856 |       5860
  misprediction rate                 |      0.08% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03%
  mpki                               |       0.05 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   25848207 |   25464073 |   25438020 |   25437496 |   25434326 |   25432986 |   25432701 |   25432513
    num misses                       |        200 |         28 |         28 |         28 |         28 |         28 |         28 |         29
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |  132418928 |  134034336 |  134257613 |  134032898 |  133743179 |  134275771 |  133853871 |  134245454
    num misses                       |      76213 |      72887 |      72510 |      72533 |      72527 |      72552 |      72603 |      72424
    miss rate                        |      0.06% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.31 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |      76413 |      72915 |      72538 |      72561 |      72555 |      72580 |      72631 |      72453
    num misses                       |      49772 |      48075 |      48073 |      47947 |      48111 |      47782 |      47839 |      47779
    miss rate                        |     65.14% |     65.93% |     66.27% |     66.08% |     66.31% |     65.83% |     65.87% |     65.94%
    mpki                             |       0.20 |       0.18 |       0.18 |       0.18 |       0.19 |       0.18 |       0.18 |       0.18
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   25848207 |   25464073 |   25438020 |   25437496 |   25434326 |   25432986 |   25432701 |   25432513
    num cache misses                 |      28954 |      17002 |      16564 |      16498 |      16604 |      16961 |      16504 |      16445
    miss rate                        |      0.11% |      0.07% |      0.07% |      0.06% |      0.07% |      0.07% |      0.06% |      0.06%
    mpki                             |       0.12 |       0.07 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |  132418928 |  134034336 |  134257613 |  134032898 |  133743179 |  134275771 |  133853871 |  134245454
    num cache misses                 |    5318497 |    5331650 |    5312474 |    5314483 |    5313801 |    5312981 |    5313058 |    5313407
    miss rate                        |      4.02% |      3.98% |      3.96% |      3.97% |      3.97% |      3.96% |      3.97% |      3.96%
    mpki                             |      21.67 |      20.42 |      20.21 |      20.32 |      20.45 |      20.20 |      20.39 |      20.21
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    5759964 |    5734948 |    5714687 |    5719811 |    5721282 |    5715552 |    5715409 |    5717128
    num cache misses                 |    3882581 |    3844313 |    3826828 |    3820183 |    3827176 |    3827283 |    3824829 |    3819623
    miss rate                        |     67.41% |     67.03% |     66.96% |     66.79% |     66.89% |     66.96% |     66.92% |     66.81%
    mpki                             |      15.82 |      14.72 |      14.56 |      14.61 |      14.73 |      14.55 |      14.68 |      14.53
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |    4298326 |    4231095 |    4212802 |    4209464 |    4218524 |    4213358 |    4211003 |    4207128
    num cache misses                 |    2618829 |    2532780 |    2509750 |    2522188 |    2558808 |    2497867 |    2510365 |    2514660
    miss rate                        |     60.93% |     59.86% |     59.57% |     59.92% |     60.66% |     59.28% |     59.61% |     59.77%
    mpki                             |      10.67 |       9.70 |       9.55 |       9.64 |       9.85 |       9.49 |       9.63 |       9.56
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |   14545876 |          0 |          0 |          0 |   14550010 |          0 |          0 |          0
  average dram access latency (ns)   |    3516.10 |        inf |        inf |        inf |    3559.10 |        inf |        inf |        inf
  average dram queueing delay        |    3454.85 |       0.00 |       0.00 |       0.00 |    3497.85 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     23.00% |      0.00% |      0.00% |      0.00% |     23.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |    1826667 |    1799210 |    1796719 |    1798514 |    1778714 |    1800448 |    1804074 |    1798576
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      38852 |       7314 |       6767 |      15326 |      60632 |       3699 |       3631 |       8642
