                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   44712754 |    5954786 |    5969841 |    4875448 |    5105159 |    5641360 |    5816256 |    5783162
  Cycles                             |  126597600 |  126597600 |  126597600 |  126597600 |   31649400 |   31649400 |   31649400 |   31649400
  IPC                                |       0.35 |       0.05 |       0.05 |       0.04 |       0.16 |       0.18 |       0.18 |       0.18
  Time (ns)                          |   31649400 |   31649400 |   31649400 |   31649400 |   31649400 |   31649400 |   31649400 |   31649400
  Idle time (ns)                     |      23590 |   27083357 |   27027751 |   26941647 |   26910990 |   27217328 |   26911524 |   27037927
  Idle time (%)                      |       0.1% |      85.6% |      85.4% |      85.1% |      85.0% |      86.0% |      85.0% |      85.4%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    4957647 |    1713554 |    1709016 |    1228439 |    1340524 |    1641754 |    1645859 |    1663828
  num incorrect                      |     350486 |      25655 |      27139 |      45697 |      40245 |      20063 |      29545 |      25225
  misprediction rate                 |      6.60% |      1.48% |      1.56% |      3.59% |      2.91% |      1.21% |      1.76% |      1.49%
  mpki                               |       7.84 |       4.31 |       4.55 |       9.37 |       7.88 |       3.56 |       5.08 |       4.36
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    5843865 |     239614 |     249035 |     374756 |     336977 |     204954 |     263948 |     230871
    num misses                       |        172 |         26 |         28 |         26 |         26 |         26 |         26 |         25
    miss rate                        |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.01 |       0.01 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   10249143 |    1386210 |    1395328 |    1297250 |    1311784 |    1305921 |    1381952 |    1351793
    num misses                       |      10461 |       8987 |       9092 |       8997 |       9026 |       9053 |       9080 |       9008
    miss rate                        |      0.10% |      0.65% |      0.65% |      0.69% |      0.69% |      0.69% |      0.66% |      0.67%
    mpki                             |       0.23 |       1.51 |       1.52 |       1.85 |       1.77 |       1.60 |       1.56 |       1.56
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |      10633 |       9013 |       9120 |       9023 |       9052 |       9079 |       9106 |       9033
    num misses                       |        869 |        321 |        317 |        320 |        296 |        295 |        296 |        287
    miss rate                        |      8.17% |      3.56% |      3.48% |      3.55% |      3.27% |      3.25% |      3.25% |      3.18%
    mpki                             |       0.02 |       0.05 |       0.05 |       0.07 |       0.06 |       0.05 |       0.05 |       0.05
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    5843865 |     239614 |     249035 |     374756 |     336977 |     204954 |     263948 |     230871
    num cache misses                 |       2942 |        170 |        176 |        174 |        227 |        213 |        216 |        214
    miss rate                        |      0.05% |      0.07% |      0.07% |      0.05% |      0.07% |      0.10% |      0.08% |      0.09%
    mpki                             |       0.07 |       0.03 |       0.03 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   10249143 |    1386210 |    1395328 |    1297250 |    1311784 |    1305921 |    1381952 |    1351793
    num cache misses                 |      85152 |      52182 |      52413 |      53670 |      53076 |      51868 |      52693 |      52141
    miss rate                        |      0.83% |      3.76% |      3.76% |      4.14% |      4.05% |      3.97% |      3.81% |      3.86%
    mpki                             |       1.90 |       8.76 |       8.78 |      11.01 |      10.40 |       9.19 |       9.06 |       9.02
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      90213 |      52355 |      52596 |      53845 |      53303 |      52081 |      52912 |      52356
    num cache misses                 |      71161 |      46710 |      46846 |      47473 |      47511 |      46626 |      47199 |      46854
    miss rate                        |     78.88% |     89.22% |     89.07% |     88.17% |     89.13% |     89.53% |     89.20% |     89.49%
    mpki                             |       1.59 |       7.84 |       7.85 |       9.74 |       9.31 |       8.27 |       8.12 |       8.10
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      73701 |      46745 |      46887 |      47498 |      47540 |      46649 |      47221 |      46861
    num cache misses                 |      25197 |       2046 |       1995 |       2205 |       2179 |       1970 |       2106 |       1985
    miss rate                        |     34.19% |      4.38% |      4.25% |      4.64% |      4.58% |      4.22% |      4.46% |      4.24%
    mpki                             |       0.56 |       0.34 |       0.33 |       0.45 |       0.43 |       0.35 |       0.36 |       0.34
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      39600 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      61.40 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.15 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |      11307 |       1065 |       1078 |       1105 |       1082 |       1117 |       1128 |       1091
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
