                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11    
  Instructions                       |  3329294477 |  3522236648 |  3647530730 |  3563991995 |  3238928207 |  3272087236 |  3514448310 |  3739037352 |  3963921138 |  3473775189 |  3738794622 |  3972532590
  Cycles                             |  2423907600 |  2423907600 |  2423907600 |  2423907600 |  1817930700 |  1817930700 |  2423907600 |  2423907600 |  2423907600 |  1817930700 |  1817930700 |  2423907600
  IPC                                |        1.37 |        1.45 |        1.50 |        1.47 |        1.78 |        1.80 |        1.45 |        1.54 |        1.64 |        1.91 |        2.06 |        1.64
  Time (ns)                          |   605976900 |   605976900 |   605976900 |   605976900 |   605976900 |   605976900 |   605976900 |   605976900 |   605976900 |   605976900 |   605976900 |   605976900
  Idle time (ns)                     |         164 |      294941 |      302431 |      309745 |      317392 |      325037 |      332524 |      340049 |      347795 |      355263 |      362755 |      370370
  Idle time (%)                      |        0.0% |        0.0% |        0.0% |        0.1% |        0.1% |        0.1% |        0.1% |        0.1% |        0.1% |        0.1% |        0.1% |        0.1%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |   206383509 |   272445590 |   314212540 |   286363881 |   178006890 |   189058847 |   287128300 |   361991190 |   436952436 |   273570291 |   636540718 |   714453596
  num incorrect                      |      240135 |      206234 |      204812 |      206469 |      205572 |      205390 |      192333 |      192373 |      192374 |      192048 |      142971 |      142967
  misprediction rate                 |       0.12% |       0.08% |       0.07% |       0.07% |       0.12% |       0.11% |       0.07% |       0.05% |       0.04% |       0.07% |       0.02% |       0.02%
  mpki                               |        0.07 |        0.06 |        0.06 |        0.06 |        0.06 |        0.06 |        0.05 |        0.05 |        0.05 |        0.06 |        0.04 |        0.04
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |   262862081 |   261913309 |   261913118 |   261913118 |   261913118 |   261913118 |   256758125 |   256758125 |   256758125 |   256758272 |   177057362 |   177057214
    num misses                       |         224 |          33 |          33 |          33 |          33 |          33 |          33 |          33 |          33 |          33 |          33 |          33
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |  1331807155 |  1360631934 |  1381512864 |  1367591003 |  1313419187 |  1318947775 |  1343174353 |  1380606000 |  1418086656 |  1336396410 |  1146700179 |  1185656210
    num misses                       |     9706225 |    10450082 |     9303393 |    10421913 |     8880964 |    10307301 |    10600037 |     8961969 |    10274749 |     9192931 |     6544258 |     6594552
    miss rate                        |       0.73% |       0.77% |       0.67% |       0.76% |       0.68% |       0.78% |       0.79% |       0.65% |       0.72% |       0.69% |       0.57% |       0.56%
    mpki                             |        2.92 |        2.97 |        2.55 |        2.92 |        2.74 |        3.15 |        3.02 |        2.40 |        2.59 |        2.65 |        1.75 |        1.66
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |     9706449 |    10450115 |     9303426 |    10421946 |     8880997 |    10307334 |    10600070 |     8962002 |    10274782 |     9192964 |     6544291 |     6594585
    num misses                       |      374519 |      374500 |      348529 |      366424 |      362170 |      354401 |      348546 |      339902 |      323665 |      336012 |      268857 |      260602
    miss rate                        |       3.86% |       3.58% |       3.75% |       3.52% |       4.08% |       3.44% |       3.29% |       3.79% |       3.15% |       3.66% |       4.11% |       3.95%
    mpki                             |        0.11 |        0.11 |        0.10 |        0.10 |        0.11 |        0.11 |        0.10 |        0.09 |        0.08 |        0.10 |        0.07 |        0.07
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |   262862081 |   261913309 |   261913118 |   261913118 |   261913118 |   261913118 |   256758125 |   256758125 |   256758125 |   256758272 |   177057362 |   177057214
    num cache misses                 |      477414 |      313912 |      335312 |      322815 |      538886 |      588019 |      293194 |      322608 |      331313 |      567933 |      406407 |      283136
    miss rate                        |       0.18% |       0.12% |       0.13% |       0.12% |       0.21% |       0.22% |       0.11% |       0.13% |       0.13% |       0.22% |       0.23% |       0.16%
    mpki                             |        0.14 |        0.09 |        0.09 |        0.09 |        0.17 |        0.18 |        0.08 |        0.09 |        0.08 |        0.16 |        0.11 |        0.07
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |  1331807155 |  1360631934 |  1381512864 |  1367591003 |  1313419187 |  1318947775 |  1343174353 |  1380606000 |  1418086656 |  1336396410 |  1146700179 |  1185656210
    num cache misses                 |    78584270 |    78182191 |    78186397 |    78178904 |    78172368 |    78204596 |    76360050 |    76361132 |    76366693 |    76385975 |    53581157 |    53504522
    miss rate                        |       5.90% |       5.75% |       5.66% |       5.72% |       5.95% |       5.93% |       5.69% |       5.53% |       5.39% |       5.72% |       4.67% |       4.51%
    mpki                             |       23.60 |       22.20 |       21.44 |       21.94 |       24.14 |       23.90 |       21.73 |       20.42 |       19.27 |       21.99 |       14.33 |       13.47
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    81615335 |    80799932 |    80605319 |    80805749 |    80255656 |    81191843 |    79439786 |    78976105 |    78600754 |    78505304 |    55181077 |    55704670
    num cache misses                 |    22438091 |    21490677 |    22320227 |    21648907 |    37792756 |    37762381 |    20782423 |    21309238 |    21182216 |    36148445 |    24036524 |    15144451
    miss rate                        |      27.49% |      26.60% |      27.69% |      26.79% |      47.09% |      46.51% |      26.16% |      26.98% |      26.95% |      46.05% |      43.56% |      27.19%
    mpki                             |        6.74 |        6.10 |        6.12 |        6.07 |       11.67 |       11.54 |        5.91 |        5.70 |        5.34 |       10.41 |        6.43 |        3.81
  Cache L3                           |             |             |             |             |             |             |             |             |             |             |             |            
