                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   11239635 |    3123594 |    3431278 |    2861912 |    3110192 |    3420937
  Cycles                             |    9276000 |    9276000 |    9276000 |    9276000 |    9276000 |    9276000
  IPC                                |       1.21 |       0.34 |       0.37 |       0.31 |       0.34 |       0.37
  Time (ns)                          |    2319000 |    2319000 |    2319000 |    2319000 |    2319000 |    2319000
  Idle time (ns)                     |       1201 |    1794296 |    1794578 |    1794602 |    1794709 |    1794734
  Idle time (%)                      |       0.1% |      77.4% |      77.4% |      77.4% |      77.4% |      77.4%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    1368820 |     934287 |    1062903 |     827177 |     929829 |    1059484
  num incorrect                      |      79205 |      11378 |       7073 |      14757 |      11390 |       7133
  misprediction rate                 |      5.47% |      1.20% |      0.66% |      1.75% |      1.21% |      0.67%
  mpki                               |       7.05 |       3.64 |       2.06 |       5.16 |       3.66 |       2.09
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    1638078 |      41773 |      35350 |      45337 |      40031 |      35193
    num misses                       |        180 |         26 |         26 |         26 |         26 |         26
    miss rate                        |      0.01% |      0.06% |      0.07% |      0.06% |      0.06% |      0.07%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |    2771236 |     665211 |     695086 |     637474 |     662551 |     694205
    num misses                       |       2313 |        145 |        182 |        158 |        145 |        186
    miss rate                        |      0.08% |      0.02% |      0.03% |      0.02% |      0.02% |      0.03%
    mpki                             |       0.21 |       0.05 |       0.05 |       0.06 |       0.05 |       0.05
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |       2493 |        171 |        208 |        184 |        171 |        212
    num misses                       |        589 |        139 |        140 |        135 |        137 |        136
    miss rate                        |     23.63% |     81.29% |     67.31% |     73.37% |     80.12% |     64.15%
    mpki                             |       0.05 |       0.04 |       0.04 |       0.05 |       0.04 |       0.04
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    1638078 |      41773 |      35350 |      45337 |      40031 |      35193
    num cache misses                 |       2840 |        175 |        176 |        176 |        175 |        175
    miss rate                        |      0.17% |      0.42% |      0.50% |      0.39% |      0.44% |      0.50%
    mpki                             |       0.25 |       0.06 |       0.05 |       0.06 |       0.06 |       0.05
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |    2771236 |     665211 |     695086 |     637474 |     662551 |     694205
    num cache misses                 |      40816 |      16832 |      16644 |      17160 |      16923 |      16785
    miss rate                        |      1.47% |      2.53% |      2.39% |      2.69% |      2.55% |      2.42%
    mpki                             |       3.63 |       5.39 |       4.85 |       6.00 |       5.44 |       4.91
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |      46019 |      17199 |      16965 |      17917 |      17645 |      17455
    num cache misses                 |      32036 |      15354 |      15284 |      15593 |      15393 |      15327
    miss rate                        |     69.61% |     89.27% |     90.09% |     87.03% |     87.24% |     87.81%
    mpki                             |       2.85 |       4.92 |       4.45 |       5.45 |       4.95 |       4.48
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      34639 |      15558 |      15436 |      16177 |      15940 |      15823
    num cache misses                 |      25788 |       9038 |       8918 |       9867 |       9635 |       9647
    miss rate                        |     74.45% |     58.09% |     57.77% |     60.99% |     60.45% |     60.97%
    mpki                             |       2.29 |       2.89 |       2.60 |       3.45 |       3.10 |       2.82
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      10557 |          0 |          0 |      10483 |          0 |          0
  average dram access latency (ns)   |      61.44 |        inf |        inf |      61.43 |        inf |        inf
  average dram queueing delay        |       0.19 |       0.00 |       0.00 |       0.18 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |      10435 |        167 |        165 |        118 |        126 |        146
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       2440 |       2317 |       2386 |       3039 |       2984 |       2957
