                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
    miss rate                        |       4.46% |       4.49% |       4.53% |       4.59% |       4.30% |       4.24% |        inf% |        inf% |       4.46% |       4.52% |       4.55% |       3.28% |       4.25% |       4.25% |        inf% |        inf%
    mpki                             |       16.82 |       17.20 |       17.69 |       18.24 |       15.94 |       15.89 |         inf |         inf |       16.99 |       17.52 |       17.88 |       11.59 |       15.81 |       15.96 |         inf |         inf
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    62152210 |    61847956 |    61713315 |    61840925 |    42486771 |    42088615 |           0 |           0 |    61710997 |    61922314 |    61909838 |    34563408 |    42120791 |    42093806 |           0 |           0
    num cache misses                 |     5660586 |     5885331 |     5778604 |     5843749 |     6255544 |     6322603 |           0 |           0 |     5973506 |     5868782 |     4310263 |     4026517 |     6213647 |     6295637 |           0 |           0
    miss rate                        |       9.11% |       9.52% |       9.36% |       9.45% |      14.72% |      15.02% |        inf% |        inf% |       9.68% |       9.48% |       6.96% |      11.65% |      14.75% |      14.96% |        inf% |        inf%
    mpki                             |        1.60 |        1.71 |        1.73 |        1.80 |        2.42 |        2.50 |         inf |         inf |        1.71 |        1.73 |        1.30 |        1.42 |        2.43 |        2.50 |         inf |         inf
  Cache L3                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |     8635717 |     8698162 |     8651553 |     8633369 |     7686739 |     8139139 |           0 |           0 |     8770397 |     8720720 |     7188870 |     5986886 |     7890625 |     8123035 |           0 |           0
    num cache misses                 |     2415216 |     2414963 |     2606565 |     2613408 |     1681637 |     2266209 |           0 |           0 |     2701681 |     2713638 |     2711467 |     1735406 |     2075549 |     2280091 |           0 |           0
    miss rate                        |      27.97% |      27.76% |      30.13% |      30.27% |      21.88% |      27.84% |        inf% |        inf% |      30.80% |      31.12% |      37.72% |      28.99% |      26.30% |      28.07% |        inf% |        inf%
    mpki                             |        0.68 |        0.70 |        0.78 |        0.80 |        0.65 |        0.90 |         inf |         inf |        0.78 |        0.80 |        0.82 |        0.61 |        0.81 |        0.91 |         inf |         inf
DRAM summary                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num dram accesses                  |       64171 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |       50118 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |     1261.37 |         inf |         inf |         inf |         inf |         inf |         inf |         inf |     1563.11 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |     1200.12 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |     1501.86 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num loads from dram                |        6936 |          23 |          13 |          24 |         368 |         181 |           0 |           0 |          45 |          71 |          86 |          54 |         217 |         331 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |     2386220 |     2355959 |     2551139 |     2573419 |     1645660 |     2244350 |           0 |           0 |     2654036 |     2659332 |     2636103 |     1660725 |     2042480 |     2270114 |           0 |           0
