                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  273770802 |  293834705 |  303607842 |  275776259 |  269710076 |  268100254 |  274872326 |  287279352
  Cycles                             |  190914400 |  190914400 |  190914400 |  190914400 |  190914400 |  190914400 |  190914400 |  190914400
  IPC                                |       1.43 |       1.54 |       1.59 |       1.44 |       1.41 |       1.40 |       1.44 |       1.50
  Time (ns)                          |   47728600 |   47728600 |   47728600 |   47728600 |   47728600 |   47728600 |   47728600 |   47728600
  Idle time (ns)                     |    1136090 |    1085344 |     980006 |     736038 |     529426 |     384102 |     236158 |     237267
  Idle time (%)                      |       2.4% |       2.3% |       2.1% |       1.5% |       1.1% |       0.8% |       0.5% |       0.5%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   48250823 |   54775052 |   58969302 |   49419432 |   47271499 |   45710811 |   48397753 |   52505420
  num incorrect                      |     174089 |     180095 |     187397 |     193409 |     195045 |     193713 |     190039 |     180368
  misprediction rate                 |      0.36% |      0.33% |      0.32% |      0.39% |      0.41% |      0.42% |      0.39% |      0.34%
  mpki                               |       0.64 |       0.61 |       0.62 |       0.70 |       0.72 |       0.72 |       0.69 |       0.63
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   10224006 |   10257183 |   10008248 |   10156008 |   10288270 |   10715338 |   10575968 |   10745146
    num misses                       |        223 |         27 |         27 |         27 |         27 |         27 |         27 |         27
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |  100278497 |  103729362 |  104099591 |   99779607 |   98884646 |   99920006 |  100481359 |  102542800
    num misses                       |      97913 |      99414 |      96169 |      97211 |      96153 |      99464 |      97312 |      96611
    miss rate                        |      0.10% |      0.10% |      0.09% |      0.10% |      0.10% |      0.10% |      0.10% |      0.09%
    mpki                             |       0.36 |       0.34 |       0.32 |       0.35 |       0.36 |       0.37 |       0.35 |       0.34
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |      98136 |      99441 |      96196 |      97238 |      96180 |      99491 |      97339 |      96638
    num misses                       |       3609 |       4234 |       2531 |       2897 |       2512 |       3637 |       4158 |       3386
    miss rate                        |      3.68% |      4.26% |      2.63% |      2.98% |      2.61% |      3.66% |      4.27% |      3.50%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   10224006 |   10257183 |   10008248 |   10156008 |   10288270 |   10715338 |   10575968 |   10745146
    num cache misses                 |      27165 |      11211 |      11118 |      11008 |      11388 |      11394 |      11240 |      11016
    miss rate                        |      0.27% |      0.11% |      0.11% |      0.11% |      0.11% |      0.11% |      0.11% |      0.10%
    mpki                             |       0.10 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |  100278497 |  103729362 |  104099591 |   99779607 |   98884646 |   99920006 |  100481359 |  102542800
    num cache misses                 |   25765074 |   26014915 |   25361523 |   25397944 |   25450600 |   26084413 |   25702139 |   25673532
    miss rate                        |     25.69% |     25.08% |     24.36% |     25.45% |     25.74% |     26.11% |     25.58% |     25.04%
    mpki                             |      94.11 |      88.54 |      83.53 |      92.10 |      94.36 |      97.29 |      93.51 |      89.37
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |   25839284 |   26071083 |   25418676 |   25457188 |   25508649 |   26142566 |   25760063 |   25731525
    num cache misses                 |    5591259 |    5606628 |    5472480 |    5491853 |    5502413 |    5621201 |    5547931 |    5545667
    miss rate                        |     21.64% |     21.51% |     21.53% |     21.57% |     21.57% |     21.50% |     21.54% |     21.55%
    mpki                             |      20.42 |      19.08 |      18.02 |      19.91 |      20.40 |      20.97 |      20.18 |      19.30
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |    5640624 |    5653119 |    5519999 |    5541580 |    5551005 |    5669447 |    5596193 |    5594101
    num cache misses                 |     102336 |      89716 |      94885 |      96945 |      92847 |      92429 |      90785 |      99871
    miss rate                        |      1.81% |      1.59% |      1.72% |      1.75% |      1.67% |      1.63% |      1.62% |      1.79%
    mpki                             |       0.37 |       0.31 |       0.31 |       0.35 |       0.34 |       0.34 |       0.33 |       0.35
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |     255435 |          0 |          0 |          0 |     255603 |          0 |          0 |          0
  average dram access latency (ns)   |    4869.98 |        inf |        inf |        inf |    4889.82 |        inf |        inf |        inf
  average dram queueing delay        |    4808.73 |       0.00 |       0.00 |       0.00 |    4828.57 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |      23105 |      17026 |      19633 |      20983 |      17540 |      17092 |      20117 |      20829
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      47343 |      47137 |      52222 |      54122 |      50071 |      49583 |      46498 |      55383
