                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   22007649 |    4882336 |    4631036 |    4689911 |    4635713 |    4150248
  Cycles                             |   17434800 |   17434800 |   17434800 |   17434800 |   17434800 |   17434800
  IPC                                |       1.26 |       0.28 |       0.27 |       0.27 |       0.27 |       0.24
  Time (ns)                          |    4358700 |    4358700 |    4358700 |    4358700 |    4358700 |    4358700
  Idle time (ns)                     |       1550 |    3466205 |    3466572 |    3466738 |    3467031 |    3467091
  Idle time (%)                      |       0.0% |      79.5% |      79.5% |      79.5% |      79.5% |      79.5%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    2512402 |    1465886 |    1360862 |    1387365 |    1335907 |    1130981
  num incorrect                      |     172849 |      14024 |      17751 |      16432 |      22254 |      28826
  misprediction rate                 |      6.44% |      0.95% |      1.29% |      1.17% |      1.64% |      2.49%
  mpki                               |       7.85 |       2.87 |       3.83 |       3.50 |       4.80 |       6.95
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    2874725 |     137116 |     158669 |     154928 |     186037 |     235583
    num misses                       |        170 |         26 |         26 |         28 |         26 |         26
    miss rate                        |      0.01% |      0.02% |      0.02% |      0.02% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |    5229480 |    1059464 |    1036750 |    1040728 |    1058235 |    1008658
    num misses                       |       2536 |       1209 |       1193 |       1277 |       1320 |       1198
    miss rate                        |      0.05% |      0.11% |      0.12% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.12 |       0.25 |       0.26 |       0.27 |       0.28 |       0.29
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |       2706 |       1235 |       1219 |       1305 |       1346 |       1224
    num misses                       |        666 |        187 |        196 |        188 |        198 |        199
    miss rate                        |     24.61% |     15.14% |     16.08% |     14.41% |     14.71% |     16.26%
    mpki                             |       0.03 |       0.04 |       0.04 |       0.04 |       0.04 |       0.05
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    2874725 |     137116 |     158669 |     154928 |     186037 |     235583
    num cache misses                 |       2805 |        172 |        171 |        177 |        171 |        170
    miss rate                        |      0.10% |      0.13% |      0.11% |      0.11% |      0.09% |      0.07%
    mpki                             |       0.13 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |    5229480 |    1059464 |    1036750 |    1040728 |    1058235 |    1008658
    num cache misses                 |      60107 |      33130 |      33284 |      33395 |      33250 |      33397
    miss rate                        |      1.15% |      3.13% |      3.21% |      3.21% |      3.14% |      3.31%
    mpki                             |       2.73 |       6.79 |       7.19 |       7.12 |       7.17 |       8.05
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |      65309 |      33424 |      33608 |      33741 |      34667 |      34946
    num cache misses                 |      48873 |      29995 |      30106 |      30196 |      30012 |      30132
    miss rate                        |     74.83% |     89.74% |     89.58% |     89.49% |     86.57% |     86.22%
    mpki                             |       2.22 |       6.14 |       6.50 |       6.44 |       6.47 |       7.26
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      51561 |      30149 |      30281 |      30390 |      31263 |      31512
    num cache misses                 |      31232 |      11988 |      12271 |      12237 |      24074 |      24163
    miss rate                        |     60.57% |     39.76% |     40.52% |     40.27% |     77.00% |     76.68%
    mpki                             |       1.42 |       2.46 |       2.65 |       2.61 |       5.19 |       5.82
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      13558 |          0 |          0 |          0 |      13507 |          0
  average dram access latency (ns)   |      61.44 |        inf |        inf |        inf |      61.42 |        inf
  average dram queueing delay        |       0.19 |       0.00 |       0.00 |       0.00 |       0.16 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |      10695 |        452 |        441 |        433 |        141 |        137
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       4427 |       4270 |       4324 |       4312 |       4597 |       4630
