                                     | Core 0     | Core 1    
  Instructions                       |   17441772 |   17689699
  Cycles                             |   10128000 |   10128000
  IPC                                |       1.72 |       1.75
  Time (ns)                          |    2532000 |    2532000
  Idle time (ns)                     |        315 |     233355
  Idle time (%)                      |       0.0% |       9.2%
Branch predictor stats               |            |           
  num correct                        |    1022965 |    1309566
  num incorrect                      |       8835 |       4096
  misprediction rate                 |      0.86% |      0.31%
  mpki                               |       0.51 |       0.23
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    1963610 |    1827438
    num misses                       |        190 |         28
    miss rate                        |      0.01% |      0.00%
    mpki                             |       0.01 |       0.00
  D-TLB                              |            |           
    num accesses                     |    9240591 |    8969919
    num misses                       |       4055 |       2683
    miss rate                        |      0.04% |      0.03%
    mpki                             |       0.23 |       0.15
  L2 TLB                             |            |           
    num accesses                     |       4245 |       2711
    num misses                       |        803 |        323
    miss rate                        |     18.92% |     11.91%
    mpki                             |       0.05 |       0.02
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    1963610 |    1827438
    num cache misses                 |       9247 |       2033
    miss rate                        |      0.47% |      0.11%
    mpki                             |       0.53 |       0.11
  Cache L1-D                         |            |           
    num cache accesses               |    9240591 |    8969919
    num cache misses                 |     312177 |     292471
    miss rate                        |      3.38% |      3.26%
    mpki                             |      17.90 |      16.53
  Cache L2                           |            |           
    num cache accesses               |     327953 |     296885
    num cache misses                 |      57091 |      38329
    miss rate                        |     17.41% |     12.91%
    mpki                             |       3.27 |       2.17
  Cache L3                           |            |           
    num cache accesses               |      66422 |      44088
    num cache misses                 |      27635 |      19857
    miss rate                        |     41.61% |     45.04%
    mpki                             |       1.58 |       1.12
DRAM summary                         |            |           
  num dram accesses                  |      13690 |      13666
  average dram access latency (ns)   |     115.50 |     115.70
  average dram queueing delay        |      54.25 |      54.45
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       6998 |        100
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |       6748 |       9690
