1415130,478614,249145,181057,3046282,203882,204117,201144,185884,171667,175973,4003164,193473,185030,222717,0
1486091,493947,259564,198312,3170072,226124,230656,221110,197792,193964,197736,4104096,193970,194076,0,222717
1408893,456846,222423,156857,3131347,187954,193013,185096,167886,156837,161462,4102054,156939,0,194076,185030
1609352,456888,222520,156856,3182812,251843,260567,252716,212831,156860,228064,4341896,0,156939,193970,193473
4371081,3709293,3710322,3519903,333540,1906682,1927936,1795651,1112450,357927,1065423,0,4341896,4102054,4104096,4003164
884336,160900,224152,158229,807197,200021,221736,193450,174508,159498,0,1065423,228064,161462,197736,175973
976934,201093,222417,156856,287295,161618,163597,160229,159469,0,159498,357927,156860,156837,193964,171667
890822,165933,223954,159690,879017,208147,321399,196136,0,159469,174508,1112450,212831,167886,197792,185884
1000751,226465,247664,180988,1382023,217902,218651,0,196136,160229,193450,1795651,252716,185096,221110,201144
1022379,254932,253289,186999,1392546,219564,0,218651,321399,163597,221736,1927936,260567,193013,230656,204117
1024231,241034,246323,180270,1408907,0,219564,217902,208147,161618,200021,1906682,251843,187954,226124,203882
3513566,2840896,2866084,2765934,0,1408907,1392546,1382023,879017,287295,807197,333540,3182812,3131347,3170072,3046282
1305428,456886,222596,0,2765934,180270,186999,180988,159690,156856,158229,3519903,156856,156857,198312,181057
1435742,522553,0,222596,2866084,246323,253289,247664,223954,222417,224152,3710322,222520,222423,259564,249145
1599801,0,522553,456886,2840896,241034,254932,226465,165933,201093,160900,3709293,456888,456846,493947,478614
0,1599801,1435742,1305428,3513566,1024231,1022379,1000751,890822,976934,884336,4371081,1609352,1408893,1486091,1415130

