1028025,198430,146613,96911,56310,61749,34607,37683,199461,171124,53576,46340,76063,52096,143051,0
983498,162543,185034,109382,44789,34345,25425,25916,217988,162327,37731,31459,50045,35956,0,143051
533803,49348,219822,34568,21386,15736,12249,12012,150679,131801,11719,16292,22706,0,35956,52096
576332,81215,119517,68243,31277,25493,35907,24798,165180,154652,31331,31636,0,22706,50045,76063
525572,60025,72129,39628,28378,13285,9854,8788,93877,162748,15004,0,31636,16292,31459,46340
557704,62407,84938,33011,13627,9742,11973,8753,110242,101551,0,15004,31331,11719,37731,53576
547394,190910,212284,260468,101152,81837,94749,81980,172968,0,101551,162748,154652,131801,162327,171124
782451,204279,238779,242467,60055,103711,114343,87932,0,172968,110242,93877,165180,150679,217988,199461
515297,48620,70898,30068,18442,10221,6194,0,87932,81980,8753,8788,24798,12012,25916,37683
559685,54210,72032,30186,16357,9787,0,6194,114343,94749,11973,9854,35907,12249,25425,34607
524929,53162,63698,46026,15817,0,9787,10221,103711,81837,9742,13285,25493,15736,34345,61749
563598,75630,80464,50837,0,15817,16357,18442,60055,101152,13627,28378,31277,21386,44789,56310
1284187,198758,130283,0,50837,46026,30186,30068,242467,260468,33011,39628,68243,34568,109382,96911
1220115,193748,0,130283,80464,63698,72032,70898,238779,212284,84938,72129,119517,219822,185034,146613
1168736,0,193748,198758,75630,53162,54210,48620,204279,190910,62407,60025,81215,49348,162543,198430
0,1168736,1220115,1284187,563598,524929,559685,515297,782451,547394,557704,525572,576332,533803,983498,1028025

