680941,56129,88518,52992,53909,50700,48692,48690,51198,67647,110458,60392,74406,86926,96070,0
730152,32359,32824,31032,30140,30994,26276,27844,32900,50280,80072,40901,41804,49080,0,96070
703326,32900,33092,32031,28577,28770,27265,28283,29326,49424,84148,42153,44838,0,49080,86926
720102,32752,33841,29669,28613,29546,29102,29231,26807,45779,77848,41906,0,44838,41804,74406
575385,56453,68495,55485,31134,30486,31003,29638,28091,33581,43843,0,41906,42153,40901,60392
863437,223697,281676,204021,52321,51959,50862,54377,31828,52937,0,43843,77848,84148,80072,110458
644398,103628,141021,103610,35708,36264,33532,39502,32022,0,52937,33581,45779,49424,50280,67647
572162,29160,29720,29964,24709,25861,25136,30001,0,32022,31828,28091,26807,29326,32900,51198
551348,28888,28602,28702,26160,29315,27001,0,30001,39502,54377,29638,29231,28283,27844,48690
567395,27504,26261,26455,25521,27527,0,27001,25136,33532,50862,31003,29102,27265,26276,48692
577649,28790,29829,27658,26616,0,27527,29315,25861,36264,51959,30486,29546,28770,30994,50700
600447,28477,29171,28613,0,26616,25521,26160,24709,35708,52321,31134,28613,28577,30140,53909
759197,33625,38881,0,28613,27658,26455,28702,29964,103610,204021,55485,29669,32031,31032,52992
770592,39293,0,38881,29171,29829,26261,28602,29720,141021,281676,68495,33841,33092,32824,88518
566554,0,39293,33625,28477,28790,27504,28888,29160,103628,223697,56453,32752,32900,32359,56129
0,566554,770592,759197,600447,577649,567395,551348,572162,644398,863437,575385,720102,703326,730152,680941

