15,1930517,61135,8026578,414976
14,2006173,51653,8360756,345614
13,1380732,41580,5697653,267445
12,1395029,56258,5804627,358681
11,1264529,43691,5235658,279094
10,1365579,43340,5643378,280768
9,1295553,45452,5367270,292715
8,1328406,75051,5557370,470682
7,1265423,45689,5245578,293098
6,1336178,39439,5515878,255378
5,1282308,35584,5291533,231032
4,1316131,60978,5483206,389026
3,2444827,72127,10214825,494768
1,2295707,61142,9501065,408937
2,2174375,83841,9154994,580657
0,2452548,741914,15246181,5537137
