15,398167429,31581475,581667080,140959478
14,449882087,42598878,711343717,193521526
13,3798,3579,29678,28350
12,129531869,16809056,242961016,78822258
11,3795,3576,29678,28350
10,107732944,15343048,208763644,70933223
9,2759,2543,21462,20158
8,85067477,13845867,173675007,62933078
7,3802,3585,29662,28350
6,61642217,12242815,136618033,54282394
5,3798,3579,29678,28350
4,41976996,11274379,105265270,48273824
3,3795,3576,29678,28350
2,51123719,24155408,158593201,97509157
1,3786,3567,29678,28350
0,56054435,15408823,125750014,63742430
