836054,68627,49459,53701,194276,112477,25136,25198,27221,46599,48338,514596,42980,137863,81391,0
815230,66447,50119,50754,194126,95960,24532,24669,27194,30463,46119,509632,41307,143093,0,81391
945012,276072,254357,251076,45725,43209,27468,30592,24451,33772,25582,100619,42062,0,143093,137863
695625,57473,34664,47524,38236,46759,23906,23957,22084,27194,28646,121802,0,42062,41307,42980
1548530,1010978,989788,978216,70702,38918,58565,62593,47444,56831,61639,0,121802,100619,509632,514596
542647,76044,70933,67762,25929,29457,21154,23056,21519,27283,0,61639,28646,25582,46119,48338
498789,40057,38165,37725,35002,31875,22642,22491,25071,0,27283,56831,27194,33772,30463,46599
489063,35828,27659,26830,25838,20504,20266,21658,0,25071,21519,47444,22084,24451,27194,27221
498595,28753,27003,26839,28542,35865,20422,0,21658,22491,23056,62593,23957,30592,24669,25198
499692,35188,26171,26179,27924,36257,0,20422,20266,22642,21154,58565,23906,27468,24532,25136
649399,162870,146417,141153,45944,0,36257,35865,20504,31875,29457,38918,46759,43209,95960,112477
891114,368749,362341,356586,0,45944,27924,28542,25838,35002,25929,70702,38236,45725,194126,194276
1182390,95452,74898,0,356586,141153,26179,26839,26830,37725,67762,978216,47524,251076,50754,53701
1098222,107673,0,74898,362341,146417,26171,27003,27659,38165,70933,989788,34664,254357,50119,49459
870688,0,107673,95452,368749,162870,35188,28753,35828,40057,76044,1010978,57473,276072,66447,68627
0,870688,1098222,1182390,891114,649399,499692,498595,489063,498789,542647,1548530,695625,945012,815230,836054

