1220696989,70383388,68486308,311652976,263586756,348238664,44919720,91840928,59067180,29975328,33200380,44251028,109138784,185359916,0
1037601007,55258852,54880732,223687576,195151624,237290752,34146804,74006216,44965252,21974968,25514664,96867800,172558684,0,185359916
1008226923,50368756,52256664,212623684,178533824,225102732,29358008,72205404,46997872,20627384,92421108,164283460,0,172558684,109138784
990653055,46239772,47837012,168917904,138073512,173379076,31656136,48376136,36167756,88523552,155292440,0,164283460,96867800,44251028
979909863,40180340,42576312,173285580,141182944,173780292,28296500,46673380,101259996,151673372,0,155292440,92421108,25514664,33200380
961368107,44259048,42059536,156732028,129919312,158608872,33436772,113866348,171606932,0,151673372,88523552,20627384,21974968,29975328
982150775,60946484,65204884,177081664,144393996,183623324,123190020,74408252,0,171606932,101259996,36167756,46997872,44965252,59067180
988679571,74603292,81188200,182651764,141469604,183369904,290942304,0,74408252,113866348,46673380,48376136,72205404,74006216,91840928
1618336595,63168888,59817284,211071808,192469004,449416796,0,290942304,123190020,33436772,28296500,31656136,29358008,34146804,44919720
1698787775,219358308,236489372,285305412,482662136,0,449416796,183369904,183623324,158608872,173780292,173379076,225102732,237290752,348238664
1630756496,182035192,205770048,455480108,0,482662136,192469004,141469604,144393996,129919312,141182944,138073512,178533824,195151624,263586756
1684991915,221715352,516425152,0,455480108,285305412,211071808,182651764,177081664,156732028,173285580,168917904,212623684,223687576,311652976
1670841434,383883264,0,516425152,205770048,236489372,59817284,81188200,65204884,42059536,42576312,47837012,52256664,54880732,68486308
830171516,0,383883264,221715352,182035192,219358308,63168888,74603292,60946484,44259048,40180340,46239772,50368756,55258852,70383388
0,830171516,1670841434,1684991915,1630756496,1698787775,1618336595,988679571,982150775,961368107,979909863,990653055,1008226923,1037601007,1220696989

