7266580,1698824,1826340,2088440,7608308,5389288,6165876,6218560,6736292,4027952,6976460,3917936,2954492,2278260,2304436,0
7275495,2072896,2069452,1997648,7190476,5240860,6116644,6167956,6565332,4195320,6691168,4020340,3140144,2550840,0,2304436
7963627,2116168,1958908,2199940,10190476,7178056,8309280,8288188,8842152,5539380,9601188,4983008,3579536,0,2550840,2278260
9156711,2999712,2994340,3134600,10639988,7263120,8798692,8419084,9607160,5561236,9978592,6385596,0,3579536,3140144,2954492
7159455,3003644,3962372,3159524,2275588,1939176,2159696,2300436,2026920,2215692,2529324,0,6385596,4983008,4020340,3917936
11033192,5074740,7434056,4861988,2407516,2256532,2515636,2269704,2540436,2496352,0,2529324,9978592,9601188,6691168,6976460
7645144,3513584,4607928,3381088,2277392,1919324,1997892,2101400,2500344,0,2496352,2215692,5561236,5539380,4195320,4027952
10695983,4737372,7290220,4722160,2189864,2148184,2342376,2361092,0,2500344,2540436,2026920,9607160,8842152,6565332,6736292
9826255,4649868,6807392,4448236,2091616,2100180,2431524,0,2361092,2101400,2269704,2300436,8419084,8288188,6167956,6218560
9974063,4567080,6454072,4549424,2312508,2301744,0,2431524,2342376,1997892,2515636,2159696,8798692,8309280,6116644,6165876
8591822,4145276,5650424,4012080,2328552,0,2301744,2100180,2148184,1919324,2256532,1939176,7263120,7178056,5240860,5389288
11304096,5620256,8531460,5746956,0,2328552,2312508,2091616,2189864,2277392,2407516,2275588,10639988,10190476,7190476,7608308
6571495,1998360,2384780,0,5746956,4012080,4549424,4448236,4722160,3381088,4861988,3159524,3134600,2199940,1997648,2088440
7654224,2046528,0,2384780,8531460,5650424,6454072,6807392,7290220,4607928,7434056,3962372,2994340,1958908,2069452,1826340
6660512,0,2046528,1998360,5620256,4145276,4567080,4649868,4737372,3513584,5074740,3003644,2999712,2116168,2072896,1698824
0,6660512,7654224,6571495,11304096,8591822,9974063,9826255,10695983,7645144,11033192,7159455,9156711,7963627,7275495,7266580

