63060473,5440188,5274580,5333600,5700716,5309360,4521404,4524240,0
62089252,5442608,5276620,5335072,5702516,5310712,4524396,0,4524240
61566931,5441576,5275204,5333940,5701204,5311460,0,4524396,4521404
60635394,6491020,6324964,6448904,6752448,0,5311460,5310712,5309360
66490715,6758588,6520112,6588492,0,6752448,5701204,5702516,5700716
59497455,6317896,6096268,0,6588492,6448904,5333940,5335072,5333600
62606103,6252640,0,6096268,6520112,6324964,5275204,5276620,5274580
57524148,0,6252640,6317896,6758588,6491020,5441576,5442608,5440188
0,57524148,62606103,59497455,66490715,60635394,61566931,62089252,63060473

