106077139,17345956,12320420,9036124,20963168,16368404,3710380,10604596,7767228,4259772,2776728,3794476,51074704,56131308,0
159182623,32465580,26789896,20082828,32447040,24546580,12615060,22136860,16669996,12427040,7498600,9279968,4663396,0,56131308
94988935,13082956,9977636,7385540,19084996,14256604,3805544,9401728,6499304,3877148,51213960,4102264,0,4663396,51074704
93618208,16320452,10937704,9405540,17954588,14235416,5650144,10799816,8238184,51403280,54324356,0,4102264,9279968,3794476
97269175,15958140,11243032,9438512,17237756,15012832,5389984,9708568,8022200,5434648,0,54324356,51213960,7498600,2776728
91149163,14588176,9948040,7596060,16551164,13388944,44766408,10622820,7817692,0,5434648,51403280,3877148,12427040,4259772
94209153,17080760,11770076,10713724,17581028,80049876,57730424,10140908,0,7817692,8022200,8238184,6499304,16669996,7767228
66877939,17044632,89929340,96971820,14763788,14305156,9683872,0,10140908,10622820,9708568,10799816,9401728,22136860,10604596
95662947,16454788,10888564,8397168,17744088,14393976,0,9683872,57730424,44766408,5389984,5650144,3805544,12615060,3710380
71366297,16980520,12339456,86187564,16284308,0,14393976,14305156,80049876,13388944,15012832,14235416,14256604,24546580,16368404
73629985,69284772,76903484,13205444,0,16284308,17744088,14763788,17581028,16551164,17237756,17954588,19084996,32447040,20963168
69508695,12814372,7841524,0,13205444,86187564,8397168,96971820,10713724,7596060,9438512,9405540,7385540,20082828,9036124
71922307,14443968,0,7841524,76903484,12339456,10888564,89929340,11770076,9948040,11243032,10937704,9977636,26789896,12320420
122659624,0,14443968,12814372,69284772,16980520,16454788,17044632,17080760,14588176,15958140,16320452,13082956,32465580,17345956
0,122659624,71922307,69508695,73629985,71366297,95662947,66877939,94209153,91149163,97269175,93618208,94988935,159182623,106077139

