4767092,313893,839479,1772401,860558,603278,1378365,1208463,0
4720770,473225,1193367,1269662,1396192,1232582,1403136,0,1208463
4805471,353226,669907,1511458,1061988,738639,0,1403136,1378365
6661823,991094,1627146,665536,1241170,0,738639,1232582,603278
5177342,565945,1070259,920842,0,1241170,1061988,1396192,860558
4772185,323617,619008,0,920842,665536,1511458,1269662,1772401
12271085,1820162,0,619008,1070259,1627146,669907,1193367,839479
28519592,0,1820162,323617,565945,991094,353226,473225,313893
0,28519592,12271085,4772185,5177342,6661823,4805471,4720770,4767092

