114193058,0,4060741,0,730610,0,32786824,0,33770962,0,33581607,0,121832569,2126777,28821782,0
117599916,0,43568,0,36524293,0,35699848,0,36979362,0,407748866,0,37259812,0,0,28821782
20062,0,32,0,0,0,0,0,0,128,0,2481,1656,0,0,2126777
38470686,0,10127316,0,10384631,0,9897585,0,150873339,0,11200197,1772,0,1656,37259812,121832569
20030,0,32,0,0,0,0,128,0,2481,0,0,1772,2481,0,0
31627919,0,10235549,0,10479532,0,134605507,0,11149560,0,0,0,11200197,0,407748866,33581607
28578,0,32,0,0,128,0,2481,1864,0,0,2481,0,128,0,0
27568953,0,13008148,0,110897596,0,10863366,1356,0,1864,11149560,0,150873339,0,36979362,33770962
34462,0,32,128,0,2481,0,0,1356,2481,0,128,0,0,0,0
21108430,0,63180460,0,13557359,0,0,0,10863366,0,134605507,0,9897585,0,35699848,32786824
41678,128,32,2481,468,0,0,2481,0,128,0,0,0,0,0,0
13602497,0,10432359,2232,0,468,13557359,0,110897596,0,10479532,0,10384631,0,36524293,730610
35686,2481,0,0,2232,2481,0,128,0,0,0,0,0,0,0,0
12437210,0,0,0,10432359,32,63180460,32,13008148,32,10235549,32,10127316,32,43568,4060741
48589,0,0,2481,0,128,0,0,0,0,0,0,0,0,0,0
0,48589,12437210,35686,13602497,41678,21108430,34462,27568953,28578,31627919,20030,38470686,20062,117599916,114193058

