4577036,131500,177216,149040,355052,129244,156200,231148,267792,134296,1841028,0
5237355,76684,49824,31108,254756,55048,86648,244696,73772,1752132,0,1841028
4934761,53656,67128,55104,270848,85420,97008,265036,1665736,0,1752132,134296
5411179,22472,42392,24540,285848,48992,159260,2642180,0,1665736,73772,267792
3229759,108936,138460,130836,867172,298572,3065928,0,2642180,265036,244696,231148
5096707,130924,48860,55260,1203268,2858076,0,3065928,159260,97008,86648,156200
6569059,76732,91632,338096,3912016,0,2858076,298572,48992,85420,55048,129244
4369596,368424,503312,4799460,0,3912016,1203268,867172,285848,270848,254756,355052
10413097,48356,3916824,0,4799460,338096,55260,130836,24540,55104,31108,149040
9629068,3024664,0,3916824,503312,91632,48860,138460,42392,67128,49824,177216
10544152,0,3024664,48356,368424,76732,130924,108936,22472,53656,76684,131500
0,10544152,9629068,10413097,4369596,6569059,5096707,3229759,5411179,4934761,5237355,4577036

